category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Travail du sol profond/semi-profond,,"Travail du sol profond ou semi-profond Sous-soleuses et décompacteurs Décompacteur 3 corps portée, sécurité boulon de rupture",5470.0,20,17.3,30,12.3,40,9.8,0.6,
Travail du sol profond/semi-profond,,"Décompacteur 3 m 4 lames droites, monopoutre, sécurité boulon rupture",6490.0,50,22.0,75,17.2,100,14.9,1.2,
Travail du sol profond/semi-profond,,"Décompacteur 3 m, 6 lames avec rouleau, sécurité boulon de rupture",11460.0,50,32.8,75,24.5,100,20.3,1.2,
Travail du sol profond/semi-profond,,"Décompacteur 3 m 6 lames avec rouleau, sécurité non-stop hydraulique Décompacteur 4 m",16200.0,50,43.2,75,31.4,100,25.5,1.2,
Travail du sol profond/semi-profond,Charrues réversibles,"8 lames avec rouleau, sécurité boulon de rupture",17050.0,100,39.6,125,34.0,150,30.3,1.8,
Travail du sol profond/semi-profond,Charrues réversibles,"3 corps, portée, boulon de rupture",9710.0,30,20.4,50,13.9,70,11.2,0.55,
Travail du sol profond/semi-profond,Charrues réversibles,"3 corps, portée, sécurité non-stop hydraulique",14890.0,30,29.1,50,19.1,70,14.9,0.55,
Travail du sol profond/semi-profond,Charrues réversibles,"4 corps, portée, boulon de rupture",13460.0,60,19.7,80,16.1,100,14.0,0.7,
Travail du sol profond/semi-profond,Charrues réversibles,"4 corps, portée, sécurité non-stop hydraulique",17930.0,70,21.7,80,19.7,100,16.8,0.7,
Travail du sol profond/semi-profond,Charrues réversibles,"4 corps, portée, largeur de raie variable, sécurité non-stop hydraulique",24740.0,100,24.2,120,21.2,150,18.2,0.8,
Travail du sol profond/semi-profond,Charrues réversibles,"5 corps, portée, boulon de rupture",15980.0,100,20.0,150,15.6,180,14.2,0.9,
Travail du sol profond/semi-profond,Charrues réversibles,"5 corps, portée, sécurité non-stop hydraulique",21300.0,120,21.5,160,17.8,200,15.6,0.9,
Travail du sol profond/semi-profond,Charrues réversibles,"5 corps, portée, largeur de raie variable, sécurité non-stop hydraulique",27090.0,150,26.5,200,22.0,250,19.3,1.1,
Travail du sol profond/semi-profond,Charrues réversibles,"6 corps, portée, poutre simple, sécurité boulon",22070.0,200,24.8,250,22.0,300,20.1,1.4,
Travail du sol profond/semi-profond,Charrues réversibles,"6 corps portée, renforcée, sécurité boulon",27650.0,200,28.4,250,24.9,300,22.5,1.4,
Travail du sol profond/semi-profond,Charrues réversibles,"6 corps, portée, largeur de raie variable, sécurité non-stop hydraulique",38290.0,200,35.2,250,30.3,300,27.0,1.4,
