equipment,fr_label,main_indicator,size,unit,cur_perf,cur_s1,cur_c1,cur_s2,cur_c2,cur_s3,cur_c3,confidence,bareme_machine,bareme_category,new_perf,new_s1,new_c1,new_s2,new_c2,new_s3,new_c3,prix_neuf
alternative_harrow,Herse alternative,application_width,3,meter,1.00,80,17,100,14.4,120,12.7,review_hi,Herse rotative 3 m rouleau packer,Travail du sol superficiel,1.2,80,41.6,100,34.2,120,29.3,20000.0
alternative_harrow,Herse alternative,application_width,4,meter,1.50,67,26.85,100,19.95,133,16.35,AUTO,HR + semoir 4 m toutes options Herse rotative 4 m Herse alternative + semoir céréales méca 4 m + portacourt,Semis,1.8,150,95.0,200,73.7,250,60.9,29000.0
antidrift_panel,Panneau récupérateur,rows_count,1,unity,1.00,20,8.2,40,4.7,60,3.5,review_lo,"Coupe pois 6,10 m, Pick-up adaptable sur coupe, de type « Sund » Récupérateur de menues-pailles",Moissonneuses-batteuses,1.0,50,61.9,100,32.5,150,22.7,26980.0
antidrift_panel,Panneau récupérateur,rows_count,2,unity,1.00,15,40.4,20,30.4,30,20.4,review_lo,"Coupe pois 6,10 m, Pick-up adaptable sur coupe, de type « Sund » Récupérateur de menues-pailles",Moissonneuses-batteuses,1.0,50,61.9,100,32.5,150,22.7,26980.0
arboricultural_cultivator,Cultivateur arboricole,,,,0.50,60,4.3,80,3.4,100,2.85,review_lo,"Cultivateur rotatif 1,60 m type « rotovator », lame équerre, patins",Travail du sol superficiel,0.3,20,5.1,30,3.9,40,3.3,2420.0
arboricultural_mounted_jet_sprayer,Pulvérisateur à jet porté arboricole,nominal_storable_net_volume,5,hectoliter,0.50,200,4.15,300,2.95,400,2.35,no_match,,,,,,,,,,
arboricultural_mounted_jet_sprayer,Pulvérisateur à jet porté arboricole,nominal_storable_net_volume,10,hectoliter,0.60,167,7.44,250,5.16,333,04.02,no_match,,,,,,,,,,
arboricultural_mounted_jet_sprayer,Pulvérisateur à jet porté arboricole,nominal_storable_net_volume,15,hectoliter,0.70,286,5.81,429,4.13,571,3.29,no_match,,,,,,,,,,
arboricultural_platform,Passerelle de récolte arboricole,,,,,100,32,250,17,400,13,review_lo,de récolte tractés Effeuilleuse 6 rangs frontale,Récolte betteraves,0.8,75,43.8,150,24.6,200,19.8,26530.0
arboricultural_pneumatic_sprayer,Pulvérisateur pneumatique arboricole,nominal_storable_net_volume,20,hectoliter,1.20,208,11.76,292,8.76,375,7.2,review_lo,Pneumatique monobarre 6 rangs enterrage disques,Semis,1.2,60,67.5,80,51.1,100,41.3,32000.0
arboricultural_tractor,Tracteur arboricole,motor_power,56,french_horserpower,,300,12.8,500,10.8,700,10.2,no_match,,,,,,,,,,
arboricultural_tractor,Tracteur arboricole,motor_power,66,french_horserpower,,300,14,500,11.9,700,11.3,no_match,,,,,,,,,,
arboricultural_tractor,Tracteur arboricole,motor_power,76,french_horserpower,,300,15.3,500,13,700,12.3,no_match,,,,,,,,,,
arboricultural_tractor,Tracteur arboricole,motor_power,86,french_horserpower,,300,16.2,500,13.9,700,13.1,no_match,,,,,,,,,,
arboricultural_tractor,Tracteur arboricole,motor_power,96,french_horserpower,,300,17.8,500,15.2,700,14.4,no_match,,,,,,,,,,
arboricultural_weeding_boom,Rampe de désherbage arboricole,,,,0.70,21,23.9,43,12.11,71,7.38,review_lo,Outils de désherbage mécanique et alternatif Performance ha/h à moduler en fonction de la culture et de son état végétatif. Herses de reprise sur culture Herse-étrille 6 m portée repliage hydraulique,Désherbage mécanique et alternatif,3.0,80,30.9,100,25.4,120,21.8,8000.0
back_arboricultural_wood_rake,Andaineur arboricole arrière,,,,2.00,5,91,10,46.8,15,32,review_lo,"Andaineur 3,5 m porté",Fenaison,2.0,50,28.5,75,19.9,100,15.6,6350.0
baler_wrapper,Presse enrubanneuse,nominal_storable_net_volume,1.36,cubic_meter,40.00,63,176,88,136,113,112,review_lo,Andaineur frontal 6 m Ce matériel peut s'utiliser soit en solo soit en combiné avec une presse (PBR ou PBC).,Fenaison,4.0,150,58.2,200,45.3,250,37.6,18880.0
baler_wrapper,Presse enrubanneuse,nominal_storable_net_volume,2.41,cubic_meter,40.00,63,212,88,160,113,132,review_lo,Andaineur frontal 6 m Ce matériel peut s'utiliser soit en solo soit en combiné avec une presse (PBR ou PBC).,Fenaison,4.0,150,58.2,200,45.3,250,37.6,18880.0
beet_harvester,Arracheuse de betteraves,rows_count,6,unity,0.80,94,59.28,188,33.16,250,26.64,review_hi,"Arracheuse chargeuse 6 rangs, semi-portée 4 turbines",Récolte betteraves,0.8,50,164.3,75,114.1,100,88.9,69490.0
beet_leaves_remover,Effeuilleuse de betteraves,rows_count,6,unity,0.80,94,36.6,188,20.95,250,17.1,review_hi,de récolte tractés Effeuilleuse 6 rangs frontale,Récolte betteraves,0.8,75,43.8,150,24.6,200,19.8,26530.0
beet_picker,Ramasseuse chargeuse de betteraves,nominal_storable_net_mass,8,ton,0.80,62,152.32,94,106.08,125,82.88,review_hi,Ramasseuse chargeuse traînée 8t 3 turbines,Récolte betteraves,0.9,50,225.6,100,120.4,150,85.4,86180.0
beet_picker,Ramasseuse chargeuse de betteraves,nominal_storable_net_mass,14,ton,0.80,62,237.36,94,162.72,125,125.44,review_hi,Ramasseuse chargeuse traînée 14 t 3 turbines,Récolte betteraves,0.9,75,241.4,150,128.3,200,100.0,138980.0
blade_intercep_tv,Intercep lames ,element_count,1,unity,0.30,67,13.2,100,9.27,133,7.32,review_lo,"Décompacteur 3 m 4 lames droites, monopoutre, sécurité boulon rupture",Travail du sol profond/semi-profond,1.2,50,22.0,75,17.2,100,14.9,6490.0
blade_intercep_tv,Intercep lames ,element_count,2,unity,0.50,40,27.82,60,19.32,80,15.1,review_lo,"Décompacteur 3 m 4 lames droites, monopoutre, sécurité boulon rupture",Travail du sol profond/semi-profond,1.2,50,22.0,75,17.2,100,14.9,6490.0
blade_intercep_vtv,Intercep lames ,rows_count,1,unity,0.30,33,29.34,50,20.04,67,15.39,review_lo,"Décompacteur 3 m 4 lames droites, monopoutre, sécurité boulon rupture",Travail du sol profond/semi-profond,1.2,50,22.0,75,17.2,100,14.9,6490.0
blade_intercep_vtv,Intercep lames ,rows_count,2,unity,0.50,20,75.7,30,51.25,40,39.05,review_lo,"Décompacteur 3 m 4 lames droites, monopoutre, sécurité boulon rupture",Travail du sol profond/semi-profond,1.2,50,22.0,75,17.2,100,14.9,6490.0
borehole,Forage,length,50,meter,,600,03.06,900,02.04,1200,1.53,no_match,,,,,,,,,,
borehole,Forage,length,100,meter,,600,6.56,900,4.38,1200,3.28,no_match,,,,,,,,,,
brush_intercep_tv,Intercep brosses ,element_count,2,unity,0.50,40,52.45,60,35.75,80,27.4,no_match,,,,,,,,,,
brush_intercep_vtv,Intercep brosses ,rows_count,1,unity,0.20,50,20.5,75,13.98,100,10.72,no_match,,,,,,,,,,
brush_intercep_vtv,Intercep brosses ,rows_count,2,unity,0.40,25,82,38,55.32,50,41.96,no_match,,,,,,,,,,
cambridge_roller,Rouleau cambridge,application_width,6,meter,3.00,27,27.3,40,18.9,50,15.6,AUTO,Rouleau Cambridge 6 m repliage hydraulique,Travail du sol superficiel,3.0,80,36.5,120,25.0,150,20.4,10080.0
cambridge_roller,Rouleau cambridge,application_width,8,meter,4.00,25,36.4,38,25.2,50,19.6,AUTO,Rouleau Cambridge 8 m repliage hydraulique,Travail du sol superficiel,4.0,100,48.2,150,33.1,200,25.5,12490.0
cambridge_roller,Rouleau cambridge,application_width,9.5,meter,5.00,25,77.5,35,56.5,45,44.5,review_lo,"Rouleau Cambridge 9,50 m repliage hydraulique Lame niveleuse + équipements divers",Travail du sol superficiel,5.0,125,104.1,175,75.3,225,59.4,27650.0
cambridge_roller,Rouleau cambridge,application_width,10,meter,5.00,30,38.5,40,30,50,24.5,AUTO,Rouleau Cambridge 10 m simple repliage hydraulique,Travail du sol superficiel,5.0,150,51.3,200,39.3,250,32.2,15760.0
carrot_harvester,Arracheuse de carottes,rows_count,3,unity,0.30,100,80,120,70,160,60,review_lo,"Arracheuse charg. 350/400 ch 6 m3, 4 RM 1, 6 rangs",Récolte betteraves,235.0,200235,279.0,250195,238.0,300168,211.0,
cereal_hoe,Bineuse céréales,application_width,4,meter,2.40,62,50.88,83,38.88,104,31.68,review_lo,Cultivateur rotatif + semoir céréales mécanique 4 m + portacourt Cultiv. rotatif + semoir 4 m + portacourt Cultivateur rotatif 4 m Herse rotative + semoir céréales mécanique 3 m + portacourt,Semis,1.5,120,84.9,140,74.5,160,66.7,26380.0
cereal_hoe,Bineuse céréales,application_width,6,meter,1.50,100,13.05,133,10.05,167,8.4,review_lo,Déchaumeur + semoir céréales intégré Déchaumeur rapide 6 m Déchaumeur 7 m à disques indépendants + semoir intégré avec trémie avant,Semis,4.5,250,192.6,325,152.9,400,128.1,70000.0
chemical_trunck_cleaner,Épampreuse chimique,element_count,1,unity,1.00,20,15.7,40,8.4,60,6,no_match,,,,,,,,,,
chemical_trunck_cleaner,Épampreuse chimique,element_count,2,unity,1.00,20,23.2,40,12.1,60,8.5,no_match,,,,,,,,,,
chisel,Chisel lourd,application_width,3,meter,2.00,50,66.2,75,47.8,100,38.4,review_lo,"Chisel simple porté 3,5 m fixe 0,75 m sous bâti, sans rouleau 2 à 3 rangées, 3 à 4 dents/m",Travail du sol profond/semi-profond,1.4,70,19.0,90,15.3,110,12.9,8300.0
chisel,Chisel lourd,application_width,4,meter,2.50,60,73.75,80,58.5,100,49.5,review_hi,"Chisel simple porté 6 m replilable 0,75 m sous bâti, sans rouleau 2 à 3 rangées, 3 à 4 dents/m",Travail du sol profond/semi-profond,2.5,100,42.4,150,29.5,200,23.1,15130.0
chisel,Chisel lourd,application_width,5,meter,3.00,67,98.7,83,82.2,100,71.4,review_lo,"Chisel simple porté 3,5 m fixe 0,75 m sous bâti, sans rouleau 2 à 3 rangées, 3 à 4 dents/m",Travail du sol profond/semi-profond,1.4,70,19.0,90,15.3,110,12.9,8300.0
cider_apple_harvester,Ramasseuse de pommes à cidre,nominal_storable_net_volume,3,cubic_meter,0.80,1250,8.32,1563,7.44,1875,6.8,review_hi,Ramasseuse chargeuse traînée 8t 3 turbines,Récolte betteraves,0.9,50,225.6,100,120.4,150,85.4,86180.0
claw_interrow,Griffe inter-rang,rows_count,1,unity,0.50,20,7.2,30,5.6,40,4.8,review_hi,Arracheuse 1 rang combinée avec trémie,Pommes de terre,0.3,25,199.0,35,146.0,50,106.0,115000.0
