agroedi_code,agroedi_name,production
E01,Abricotier,apricot
0,espèce culturale inconnue,
E02,Achillée millefeuille,
E03,Agrostide blanche,
E04,Agrostide des chiens,
E05,Agrostide jouet du vent,
E06,Agrostide montana,
E07,Agrostide stolonifère,
E08,Aigremoine,
E09,Ail des ours,
E10,Ail rocambole,
E11,Alchémille,
E12,Alliaire,
E13,Alpiste roseau,
E14,Amandier,almond
E15,Amaranthe,
E16,Ambérique = pousse de soja,
E17,Ananas,pineapple
E18,Ancolie,
E19,Anémone,
E20,Aneth,dill
E21,Angelique,angelica
E22,Anis,anise
E23,Argousier,
E24,Armoise,
E25,Arnica ,
E26,Aunée,
E27,Avocatier,avocado
E28,Avoine brésilienne,winter_oat
E29,Avoine byzantine,winter_oat
E30,Avoine jaunâtre,winter_oat
E31,Avoine nue,winter_oat
E32,Ballote,
E33,Balsamite,
E34,Bananier,banana
E35,Bardane,burdock
E36,Basilic,basil
E37,Belladone,
E38,Benoîte,
E39,Bouillon blanc (molène),
E40,Bourrache,borage
E41,Brome biebersteinii,bromus
E42,Brome carinatus,bromus
E43,Brome cathartique,bromus
E44,Brome dressé,bromus
E45,Brome faux-seigle,bromus
E46,Brome fibreux,bromus
E47,Brome inerme,bromus
E48,Brome mou,bromus
E49,Brome sitchensis,bromus
E50,Brome stérile,bromus
E51,Brunelle vulgaire,
E52,Bugle rampant,bugle
E53,Buplèvre,
E54,Cameline,camelina
E55,Camomille,chamomile
E56,Capucine,
E57,Caroube,carob
E58,Carthame,
E59,Carvi,caraway
E60,Caseiller,
E61,Cataire ou Chataire,
E62,Centaurée bleuet,
E63,Centaurée d'Espagne,
E64,Centaurée du solstice,
E65,Centaurée jacée,
E66,Centaurée scabieuse,
E67,Cerisier,cherry
E68,Chardon,
E69,Chataigner,chesnut
E70,Chayotte - Christophine,
E71,Chelidoine,
E72,Chénopode,
E73,Chiendent à crête,
E74,Chiendent à tige courte,
E75,Chiendent du désert,
E76,Chiendent rampant,
E77,Chiendent velu,
E78,Chou marin,cabbage
E79,Christe marine,
E80,Chrysanthème,
E81,Ciboule,
E82,Ciboulette,chive
E83,Citronnier,lemon
E84,Clarkia,
E85,Clémentinier,clementine
E86,Cognassier,quince
E87,Consoude,
E88,Coriandre,coriander
E89,Coton,cotton
E90,Courge,pumpkin
