repository_id,reference_id,reference_code,reference_label,ekylibre_scope,ekylibre_value
2,19941,AAA15,Table de référence,,
2,19942,AAA16,Calcul logiciel,,
2,19943,AAA17,Saisie logiciel,,
2,19944,AAA18,Analyse,,
2,19945,AAA19,Inconnue,,
2,19947,AAA32,Agriculture intégrée,,
2,19948,AAA33,Agriculture biologique,,
2,19949,AAA34,Agro foresterie,,
2,19910,ABF00,Non calcaire (0 à 5%),,
2,19911,ABF01,Calcaire (>5%),,
2,19912,ABF02,Argileux (>30% A ou >25% A et >55%S),,
2,19913,ABF03,Limoneux (<55% S et <18% A),,
2,19914,ABF04,Limon-argileux (<55% S et 18%<A<35%),,
2,19915,ABF05,Sableux (>55% S et <25% A),,
2,19916,ABF06,Limono-sableux (15%<S<55% et <18% A),,
2,19917,ABF07,Sablo-limoneux (>55% S et <15% A),,
2,19918,ABF08,Non caillouteux (<5%),,
2,19919,ABF09,Caillouteux (>15%),,
2,19920,ABF10,Peu caillouteux (5-15%),,
2,19925,ABF12,hydromorphe (<60cm),,
2,19926,ABF13,non hydromorphe,,
2,19927,ABF14,drainé,,
2,20399,ZAA,Agriculture raisonnée,,
2,20400,ZAB,Certification ISO 9000,,
2,20381,ZAC,Certification ISO 14000,,
2,20402,ZAD,Référentiel Quali'terre,,
2,20403,ZAE,Référentiel FARRE,,
2,19889,ZFD,Non renseigné,,
2,19890,ZFE,Limon,,
2,19891,ZFF,Limon argileux,,
2,19892,ZFG,Argileux,,
2,19893,ZFH,Argile lourde (sol a plus de 50 % d'argile),,
2,19894,ZFI,Argilo-limoneux,,
2,19895,ZFJ,Argilo-calcaire,,
2,19896,ZFK,Argile limono-sableuse,,
2,19909,ZFL,Argilo-sableux,,
2,19897,ZFM,Sable,,
2,19898,ZFM,Limon sableux,,
2,19899,ZFO,Limon sablo-argileux,,
2,19902,ZFS,Sablo-argileux,,
2,19903,ZFT,Sablo-limoneux,,
2,19904,ZFU,sables limono-argileux,,
2,19905,ZFX,Terre de craie,,
2,19906,ZFY,Sol organique (y compris tourbe),,
2,19928,ZGB,Très acide,,
2,19929,ZGC,Acide,,
2,19930,ZGD,Neutre,,
2,19931,ZGE,Basique,,
2,19901,ZGF,Limon non battant,,
2,19921,ZGF,Très superficiel,,
2,19922,ZGG,Superficiel,,
2,19923,ZGH,Moyen (limon...),,
2,19924,ZGI,Profond,,
2,20404,ZGN,Contrat de production,,
2,20425,ZGP,Certification agriculture biologique,,
2,20386,ZGQ,Contrat de production sous Agriconfiance,,
2,20387,ZGR,Charte de production Céréales,,
2,20388,ZGS,Label,,
2,20429,ZGT,Certificat de conformité produit,,
2,20410,ZGU,Cahier des charges d'agriculture durable,,
2,20411,ZGV,Charte de l'agriculture paysanne,,
2,20412,ZHA,Mesures agro-environnementales,,
2,20413,ZHB,Référentiel GLOBAL GAP,,
2,20394,ZHC,"Norme Production ""Pomme de terre"" NF V25 111",,
2,20415,ZHD,Contrat de production Semences/Plants Certifiés,,
2,20436,ZHE,Autres opérations ou contrat,,
2,19907,ZHK,Limon argilo-sableux,,
2,19932,ZJ2,Calibre,,
2,19933,ZJ3,PMG (Poids de Mille Grains),,
2,19934,ZJ4,Humidité,,
2,19935,ZJ5,PS (Poids Spécifique),,
2,19936,ZJ6,Taux d'impuretés,,
2,19937,ZJ7,Taux de Protéines,,
2,19938,ZJ8,Calibrage,,
2,19939,ZJ9,Taux de MS,,
2,19940,ZK1,Taux de nitrates,,
