N°,name,previous_name,label_fr,fr_pcg82,fr_pcga
1,depreciation_for_diminution_in_value_of_long_term_equity_interests,,Titres de participation,2961,
2,depreciation_for_diminution_in_value_of_other_categories_of_participating_interests,,Autres formes de participation,2966,
3,depreciation_for_diminution_in_value_of_debts_receivable_to_participating_interests,,Créances rattachées à des participations,2967,
4,,,Intégration fiscale – Charges,6981,
5,,,Intégration fiscale – Produits,6989,
6,,capitals,Comptes de capitaux,1,1
7,,capital,Capital,101,101
8,,initial_individual_capital,Capital individuel initial au../../..,,1011
9,,initial_individual_capital_variations,Variation de capital individuel,,1012
10,subscribed_capital_uncalled,initial_individual_capital,Capital souscrit - non appelé,1011,1013
11,subscribed_capital_called_up_and_unpaid,initial_individual_capital_variations,"Capital souscrit - appelé, non versé",1012,1014
12,subscribed_capital_called_up_and_paid,initial_society_capital,"Capital souscrit - appelé, versé",1013,1015
13,capital_not_written_off,,Capital non amorti,10131,10151
14,capital_written_off,,Capital amorti,10132,10152
15,subscribed_capital_subject_to_particular_regulations,,Capital souscrit soumis à des réglementations particulières,1018,1018
16,,share_capital_bonus,Primes liées au capital social,104,104
17,share_premiums,,Primes d'émission,1041,1041
18,merger_premiums,,Primes de fusion,1042,1042
19,premiums_contribution,,Primes d'apport,1043,1043
20,premium_on_conversion_of_bond_into_shares,,Primes de conversion d'obligations en actions,1044,1044
21,,reevaluation_gaps,Écarts de réévaluation,105,105
22,special_revaluation_reserve,,Réserve spéciale de réévaluation,1051,1051
23,voluntary_revaluation_difference,,Écart de réévaluation libre,1052,1052
24,revaluation_reserve,,Réserve de réévaluation,1053,1053
25,revaluation_difference_on_other_legal_transactions,,Écarts de réévaluation (autres opérations légales),1055,1055
26,other_revaluation_difference_in_france,,Autres écarts de réévaluation en France,1057,1057
27,other_revaluation_difference_outside_france,,Autres écarts de réévaluation à l'étranger,1058,1058
28,,reserves,Réserves,106,106
29,,legal_reserves,Réserve légale,1061,1061
30,basic_legal_reserves,,Réserve légale proprement dite,10611,10611
31,net_long_term_capital_gain_legal_reserves,,Plus-values nettes à long terme,10612,10612
32,undistributable_reserves,,Réserves indisponibles,1062,1062
33,statutory_or_contractual_reserves,,Réserves statutaires ou contractuelles,1063,1063
34,tax_regulated_reserves,,Réserves réglementées,1064,1064
35,net_long_term_capital_gain_on_tax_regulated_reserves,,Plus-values nettes à long terme,10641,10641
36,reserves_consequent_on_award_of_investment_grants,,Réserves consécutives à l'octroi de subventions d'investissement,10643,10643
37,other_tax_regulated_reserves,,Autres réserves réglementées,10648,10648
38,,other_reserves,Autres réserves,1068,1068
39,self_insurance_reserve,,Réserve de propre assureur,10681,10681
40,sundry_reserves,,Réserves diverses,10688,10688
41,,owner_account,Compte de l'exploitant,108,108
42,shareholders_and_partners_subscribed_capital_uncalled,,Actionnaires : capital souscrit - non appelé,109,109
43,shareholders_uncalled_capital,,Actionnaires : capital souscrit - non appelé,,1091
44,partners_uncalled_up_capital,,Partenaires : capital souscrit - non appelé,,1095
