name,nature,country,code,insee_code,fiscal_positions
Entreprise individuelle (ou micro-entreprise),individual,fra,EI,1000,"fr_ba_ir, fr_ba_is, fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Groupement Agricole d'Exploitation en Commun,person,fra,GAEC,6533,"fr_ba_ir, fr_ba_is"
Exploitation agricole à responsabilité limitée,person,fra,EARL,6598,"fr_ba_ir, fr_ba_is"
Groupement foncier agricole,person,fra,GFA,6534,"fr_ba_ir, fr_ba_is"
Société civile d'exploitation agricole,person,fra,SCEA,6597,"fr_ba_ir, fr_ba_is"
Société à responsabilité limitée,capital,fra,SARL,5499,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Entreprise unipersonnelle à responsabilité limitée,person,fra,EURL,5498,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société anonyme,capital,fra,SA,5510,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société par actions simplifiées,capital,fra,SAS,5710,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société en nom collectif,person,fra,SNC,5202,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Entreprise individuelle à responsabilité limitée,capital,fra,EIRL,5498,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société par actions simplifiées unipersonnelle,capital,fra,SASU,5720,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société en participation,person,fra,SEP,2310,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société civile immobilière,person,fra,SCI,6540,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Association,person,fra,ASSO,9220,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société civile d'intérêt collectif agricole,person,fra,SICA,6532,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société en commandite par actions,capital,fra,SCA,5308,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Société en commandite simple,person,fra,SCS,5306,"fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Coopérative,person,fra,COOP,6317,"fr_ba_ir, fr_ba_is, fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
Coopérative d'utilisation de matériel agricole en commun,person,fra,CUMA,6316,"fr_ba_ir, fr_ba_is"
Groupement d'intérêt économique,person,fra,GIE,6220,"fr_ba_ir, fr_ba_is, fr_bic_ir, fr_bic_is, fr_bnc_ir, fr_bnc_is"
