Commune 2020;Libellé;Annee;Nb. Contrats
01001;L'Abergement-Clémenciat;2018;N/A - secret statistique
01002;L'Abergement-de-Varey;2018;N/A - secret statistique
01004;Ambérieu-en-Bugey;2018;53
01005;Ambérieux-en-Dombes;2018;N/A - secret statistique
01006;Ambléon;2018;
01007;Ambronay;2018;34
01008;Ambutrix;2018;
01009;Andert-et-Condon;2018;N/A - secret statistique
01010;Anglefort;2018;N/A - secret statistique
01011;Apremont;2018;0
01012;Aranc;2018;11
01013;Arandas;2018;N/A - secret statistique
01014;Arbent;2018;23
01015;Arboys en Bugey;2018;N/A - secret statistique
01016;Arbigny;2018;
01017;Argis;2018;0
01019;Armix;2018;
01021;Ars-sur-Formans;2018;16
01022;Artemare;2018;
01023;Asnières-sur-Saône;2018;N/A - secret statistique
01024;Attignat;2018;73
01025;Bâgé-Dommartin;2018;36
01026;Bâgé-le-Châtel;2018;30
01027;Balan;2018;37
01028;Baneins;2018;N/A - secret statistique
01029;Beaupont;2018;N/A - secret statistique
01030;Beauregard;2018;N/A - secret statistique
01031;Bellignat;2018;
01032;Béligneux;2018;8
01033;Valserhône;2018;9
01034;Belley;2018;188
01035;Belleydoux;2018;0
01036;Valromey-sur-Séran;2018;12
01037;Bénonces;2018;0
01038;Bény;2018;N/A - secret statistique
01039;Béon;2018;0
01040;Béréziat;2018;N/A - secret statistique
01041;Bettant;2018;
01042;Bey;2018;9
01043;Beynost;2018;N/A - secret statistique
01044;Billiat;2018;N/A - secret statistique
01045;Birieux;2018;N/A - secret statistique
01046;Biziat;2018;13
01047;Blyes;2018;21
01049;La Boisse;2018;N/A - secret statistique
01050;Boissey;2018;N/A - secret statistique
01051;Bolozon;2018;
01052;Bouligneux;2018;6
01053;Bourg-en-Bresse;2018;1166
01054;Bourg-Saint-Christophe;2018;N/A - secret statistique
01056;Boyeux-Saint-Jérôme;2018;14
01057;Boz;2018;N/A - secret statistique
01058;Brégnier-Cordon;2018;
01060;Brénod;2018;22
01061;Brens;2018;N/A - secret statistique
01062;Bressolles;2018;0
01063;Brion;2018;
01064;Briord;2018;0
01065;Buellas;2018;14
01066;La Burbanche;2018;
01067;Ceignes;2018;
01068;Cerdon;2018;N/A - secret statistique
01069;Certines;2018;41
01071;Cessy;2018;
01072;Ceyzériat;2018;263
01073;Ceyzérieu;2018;7
01074;Chalamont;2018;47
01075;Chaleins;2018;30
01076;Chaley;2018;
01077;Challes-la-Montagne;2018;
01078;Challex;2018;0
01079;Champagne-en-Valromey;2018;12
01080;Champdor-Corcelles;2018;N/A - secret statistique
01081;Champfromier;2018;N/A - secret statistique
01082;Chanay;2018;N/A - secret statistique
01083;Chaneins;2018;N/A - secret statistique
01084;Chanoz-Châtenay;2018;N/A - secret statistique
01085;La Chapelle-du-Châtelard;2018;N/A - secret statistique
01087;Charix;2018;N/A - secret statistique
01088;Charnoz-sur-Ain;2018;6
01089;Château-Gaillard;2018;N/A - secret statistique
01090;Châtenay;2018;6
01092;Châtillon-la-Palud;2018;6
01093;Châtillon-sur-Chalaronne;2018;92
01094;Chavannes-sur-Reyssouze;2018;N/A - secret statistique
01095;Nivigne et Suran;2018;N/A - secret statistique
