Commune 2020;Libellé;Annee;Nb. chefs d'exploit. ou d'entr. Agricole
01001;L'Abergement-Clémenciat;2019;15
01002;L'Abergement-de-Varey;2019;N/A - secret statistique
01004;Ambérieu-en-Bugey;2019;7
01005;Ambérieux-en-Dombes;2019;17
01006;Ambléon;2019;N/A - secret statistique
01007;Ambronay;2019;25
01008;Ambutrix;2019;N/A - secret statistique
01009;Andert-et-Condon;2019;N/A - secret statistique
01010;Anglefort;2019;8
01011;Apremont;2019;6
01012;Aranc;2019;7
01013;Arandas;2019;10
01014;Arbent;2019;
01015;Arboys en Bugey;2019;7
01016;Arbigny;2019;6
01017;Argis;2019;N/A - secret statistique
01019;Armix;2019;N/A - secret statistique
01021;Ars-sur-Formans;2019;6
01022;Artemare;2019;N/A - secret statistique
01023;Asnières-sur-Saône;2019;6
01024;Attignat;2019;9
01025;Bâgé-Dommartin;2019;73
01026;Bâgé-le-Châtel;2019;
01027;Balan;2019;7
01028;Baneins;2019;8
01029;Beaupont;2019;15
01030;Beauregard;2019;
01031;Bellignat;2019;N/A - secret statistique
01032;Béligneux;2019;N/A - secret statistique
01033;Valserhône;2019;33
01034;Belley;2019;14
01035;Belleydoux;2019;N/A - secret statistique
01036;Valromey-sur-Séran;2019;32
01037;Bénonces;2019;9
01038;Bény;2019;14
01039;Béon;2019;N/A - secret statistique
01040;Béréziat;2019;16
01041;Bettant;2019;
01042;Bey;2019;N/A - secret statistique
01043;Beynost;2019;6
01044;Billiat;2019;6
01045;Birieux;2019;9
01046;Biziat;2019;19
01047;Blyes;2019;N/A - secret statistique
01049;La Boisse;2019;9
01050;Boissey;2019;8
01051;Bolozon;2019;
01052;Bouligneux;2019;17
01053;Bourg-en-Bresse;2019;12
01054;Bourg-Saint-Christophe;2019;9
01056;Boyeux-Saint-Jérôme;2019;20
01057;Boz;2019;N/A - secret statistique
01058;Brégnier-Cordon;2019;
01060;Brénod;2019;6
01061;Brens;2019;N/A - secret statistique
01062;Bressolles;2019;N/A - secret statistique
01063;Brion;2019;
