Commune 2020;Libellé;Annee;retraités non-salariés agricoles;retraités salariés agricoles
01001;L'Abergement-Clémenciat;2019;32;52
01002;L'Abergement-de-Varey;2019;6;7
01004;Ambérieu-en-Bugey;2019;58;287
01005;Ambérieux-en-Dombes;2019;50;87
01006;Ambléon;2019;N/A - secret statistique;N/A - secret statistique
01007;Ambronay;2019;37;88
01008;Ambutrix;2019;N/A - secret statistique;10
01009;Andert-et-Condon;2019;13;13
01010;Anglefort;2019;27;31
01011;Apremont;2019;15;10
01012;Aranc;2019;22;26
01013;Arandas;2019;12;7
01014;Arbent;2019;16;64
01015;Arboys en Bugey;2019;27;37
01016;Arbigny;2019;26;20
01017;Argis;2019;9;25
01019;Armix;2019;;
01021;Ars-sur-Formans;2019;27;47
01022;Artemare;2019;28;61
01023;Asnières-sur-Saône;2019;N/A - secret statistique;N/A - secret statistique
01024;Attignat;2019;70;160
01025;Bâgé-Dommartin;2019;179;243
01026;Bâgé-le-Châtel;2019;40;60
01027;Balan;2019;11;33
01028;Baneins;2019;20;32
01029;Beaupont;2019;32;44
01030;Beauregard;2019;N/A - secret statistique;15
01031;Bellignat;2019;16;76
01032;Béligneux;2019;16;61
01033;Valserhône;2019;104;327
01034;Belley;2019;125;291
01035;Belleydoux;2019;6;13
01036;Valromey-sur-Séran;2019;73;66
01037;Bénonces;2019;6;12
01038;Bény;2019;54;79
01039;Béon;2019;10;13
01040;Béréziat;2019;39;23
01041;Bettant;2019;N/A - secret statistique;14
01042;Bey;2019;6;9
01043;Beynost;2019;23;84
01044;Billiat;2019;12;20
01045;Birieux;2019;14;14
01046;Biziat;2019;45;45
01047;Blyes;2019;8;10
01049;La Boisse;2019;16;52
01050;Boissey;2019;33;19
01051;Bolozon;2019;N/A - secret statistique;N/A - secret statistique
01052;Bouligneux;2019;20;19
01053;Bourg-en-Bresse;2019;362;1761
01054;Bourg-Saint-Christophe;2019;29;28
01056;Boyeux-Saint-Jérôme;2019;28;9
01057;Boz;2019;27;22
01058;Brégnier-Cordon;2019;13;21
01060;Brénod;2019;22;30
01061;Brens;2019;25;32
01062;Bressolles;2019;18;26
01063;Brion;2019;11;27
01064;Briord;2019;12;26
01065;Buellas;2019;36;100
01066;La Burbanche;2019;N/A - secret statistique;N/A - secret statistique
01067;Ceignes;2019;N/A - secret statistique;N/A - secret statistique
01068;Cerdon;2019;34;25
01069;Certines;2019;21;74
01071;Cessy;2019;22;47
01072;Ceyzériat;2019;40;164
01073;Ceyzérieu;2019;27;36
01074;Chalamont;2019;91;129
01075;Chaleins;2019;40;59
01076;Chaley;2019;N/A - secret statistique;7
01077;Challes-la-Montagne;2019;10;12
01078;Challex;2019;25;23
01079;Champagne-en-Valromey;2019;55;53
01080;Champdor-Corcelles;2019;38;36
01081;Champfromier;2019;14;30
01082;Chanay;2019;17;8
01083;Chaneins;2019;40;41
01084;Chanoz-Châtenay;2019;28;49
01085;La Chapelle-du-Châtelard;2019;16;20
01087;Charix;2019;N/A - secret statistique;9
01088;Charnoz-sur-Ain;2019;8;12
01089;Château-Gaillard;2019;21;39
01090;Châtenay;2019;21;24
01092;Châtillon-la-Palud;2019;23;38
01093;Châtillon-sur-Chalaronne;2019;194;357
01094;Chavannes-sur-Reyssouze;2019;50;52
01095;Nivigne et Suran;2019;30;34
01096;Chaveyriat;2019;52;62
01098;Chazey-Bons;2019;20;27
01099;Chazey-sur-Ain;2019;45;48
01100;Cheignieu-la-Balme;2019;10;11
01101;Chevillard;2019;8;9
01102;Chevroux;2019;73;73
01103;Chevry;2019;19;14
01104;Chézery-Forens;2019;17;20
01105;Civrieux;2019;37;45
01106;Cize;2019;11;12
01107;Cleyzieu;2019;7;N/A - secret statistique
01108;Coligny;2019;72;100
01109;Collonges;2019;18;30
01110;Colomieu;2019;10;9
01111;Conand;2019;N/A - secret statistique;N/A - secret statistique
