ephy_crop_label,eky_species
Betterave industrielle et fourragère,"beta_vulgaris_altissima, beta_vulgaris_crassa, beta_vulgaris_vulgaris"
Betterave potagère,beta_vulgaris
Cerisier,"prunus_avium, prunus_laurocerasus, prunus_cerasus"
Choux-raves,brassica_oleracea_gongylodes
Cresson alenois,lepidium_sativum
Cucurbitacées à peau non comestible,cucurbitaceae
Cucurbitacées à peau comestible,cucurbitaceae
Haricots,phaseolus vulgaris
Kaki,diospyros_kaki
Palmiers alimentaires,arecaceae
Porte graine - Betterave industrielle et fourragère,"beta_vulgaris_altissima, beta_vulgaris_crassa, beta_vulgaris_vulgaris"
Porte graine - Graminées,poaceae
Prairies,"poaceae, fabaceae"
Cucurbitacées à peau comestible,cucurbitaceae
Tomate - aubergine,ephy_tomato
Fruits à pépins,ephy_pips_fruit
Haricots et pois écossés frais,phaseolus_vulgaris
Porte graine - Graminées fourragères et à gazons,ephy_forage_grasses
Porte graine - Plantes à fibre,"linum, gossypium, cannabis, phyllostachys "
Porte graine - Maïs,zea_mays
Porte graine - Légumineuses fourragères,ephy_fodder_legumes
"Porte graine - PPAMC, florales et potagères",ephy_seed_pamcp
Infusions,ephy_infusions
