ephy_name,pfi_id,pfi_name,default_pfi_treatment_type_id
Acariens,1,Acariens,T22
Acariens et phytoptes,2,Acariens et phytoptes,T22
Acariens galligènes,3,Acariens galligènes,T22
"Acariens, phytoptes et tarsonèmes",4,"Acariens, phytopes et tarsonèmes",T22
Act. Chute Feuilles,134,Régulation croissance,T24
Act. Chute Fruits,134,Régulation croissance,T24
Act. Chute Organes,134,Régulation croissance,T24
Act. Conserv. Qual. Plantes et Fleurs,,,T24
Act. Croiss. Florais,134,Régulation croissance,T24
Act. Croiss. Org. Aériens,134,Régulation croissance,T24
Act. Croissance,134,Régulation croissance,T24
Act. Débourrement,134,Régulation croissance,T24
Act. Floraison,134,Régulation croissance,T24
Act. Germination,134,Régulation croissance,T24
Act. Greffage,,,T24
Act. Nouaison,134,Régulation croissance,T24
Act. Product. Gousses,,,T24
Act. Qual chicons,,,T24
Act. Qual. Fruits,,,T24
Act. Ramification,134,Régulation croissance,T24
Act. Rhizogénèse,134,Régulation croissance,T24
Act. Tubérisation,134,Régulation croissance,T24
Ag. chim. Hybridation,,,T24
Aleurodes,6,Aleurodes,T22
Anthracnoses,8,Anthracnose(s),T23
Antitranspirant,9,Antitranspirant,T24
Autres chenilles phytophages,11,Autres chenilles phytophages,T22
Bactérioses,12,Bactéries,T24
Balanin,13,Balanin,T22
Bitter pit,14,Bitter pit,T24
Black rot,15,Black rot,T23
Bouil. Fongicide,,,T23
Bouil. Herbicide,,,T21
Bouil. Insecticide,,,T22
Bouil. Répulsive,,,T24
Brunissures,16,Brunissures,T23
Cercosporioses,20,Cercosporioses,T23
Cervidés,,,T24
Champignons autres que pythiacées,23,Champignons autres que pythiacées,T23
Champignons compétiteurs,24,Champignons compétiteurs,T23
Champignons producteurs d'ochratoxine a,25,Champignons producteurs d’ota,T23
Champignons pythiacées,22,Champignons (pythiacées),T23
Chancre du collet,26,Chancre du collet,T23
Chancre européen,27,Chancre européen,T23
Chancres à champignons,28,Chancres à champignons,T23
Charançon aquatique,,,T22
Charançon rouge du palmier,29,Charançon rouge du palmier,T22
Charançons du feuillage et des fruits,30,Charançons du feuillage et des fruits,T22
Charbon des inflorescences,31,Charbons,T21
Charbons,31,Charbons,T21
Chenilles défoliatrices,32,Chenilles défoliatrices,T22
Chenilles foreuses des fruits,33,Chenilles foreuses des fruits,T22
Chenilles phytophages,34,Chenilles phytophages,T22
Chironomides,35,Chironomides,T22
Cicadelles,36,Cicadelles,T22
Cicadelles et cercopides,,,T22
"Cicadelles, cercopides et psylles",37,"Cicadelles, cercopides et psylles",T22
"Cicadelles, punaises et psylles",38,"Cicadelles, punaises et psylles",T22
Cloques,39,Cloque(s),T23
Cochenilles,40,Cochenilles,T22
Coloration,,,T24
Coléoptères phytophages,41,Coléoptères phytophages,T22
Conserv. ensilage,,,T24
Conserv. foin,,,T24
Conserv. grains,,,T24
Conserv. pulpes,,,T24
Conserv. tourteaux,,,T24
Conservateur,,,T24
Contrôle Broussaill,,,T24
Contrôle Pl. parasites,,,T24
Corbeaux,,,T24
Corticium fuciforme,,,T23
Coryneum et polystigma,42,Coryneum et polystigma,T23
Cylindrosporiose,43,Cylindrosporiose,T23
Cèphe du poirier,19,Cèphe du poirier,T22
Cécidomyies,17,Cécidomyies,T22
Cécidomyies des fleurs,172,Cécidomyies des fleurs,T22
Dessication,,,T24
Destruct. Algues,,,T24
Destruct. Mousses,,,T24
Destruct. Souches,,,T24
Dollar spot,,,T23
Débroussaillage,,,T21
Défanage,,,T24
Dégagement,,,T24
Dépérissement cryptogamique,,,T23
Désherb. total,,,T21
