article_reference,usage_count,distinct_procedures
2120098,2,2
2160818,2,2
2171010,2,2
9700278,2,2
9800244,2,2
alfalfa_herbicide,4,4
alfalfa_insecticide,1,1
anti_slug,10,10
beetroot_fungicide,1,1
beetroot_herbicide,1,1
beetroot_insecticide,1,1
carrot_fungicide,2,2
carrot_herbicide,2,2
carrot_insecticide,2,2
hard_wheat_fungicide,2,1
hard_wheat_herbicide,1,1
hard_wheat_insecticide,1,1
milk,1,1
pea_fungicide,2,1
pea_herbicide,2,1
pea_insecticide,2,1
potato_fungicide,7,1
potato_herbicide,1,1
potato_insecticide,1,1
potato_plant,2,2
rye_grass_hay,5,3
rye_grass_silage,3,3
rye_growth_regulator,2,2
rye_herbicide,2,2
rye_insecticide,2,2
spring_barley_fungicide,2,1
spring_barley_growth_regulator,1,1
spring_barley_herbicide,2,1
spring_barley_insecticide,2,1
sunflower_herbicide,1,1
triticale_herbicide,1,1
triticale_insecticide,1,1
winter_barley_fungicide,2,1
winter_barley_growth_regulator,1,1
winter_barley_herbicide,1,1
winter_barley_insecticide,1,1
