n,name,article,price,currency,packaging,date
1,common_wheat_grain_bulk,common_wheat_grain,173.55,euro,ton_bulk,01/01/2019
2,common_wheat_straw_bulk,common_wheat_straw,50,euro,ton_bulk,01/01/2019
3,hard_wheat_straw_bulk,hard_wheat_straw,50,euro,ton_bulk,01/01/2019
4,barley_grain_bulk,barley_grain,160.3,euro,ton_bulk,01/01/2019
5,barley_straw_bulk,barley_straw,85,euro,ton_bulk,01/01/2019
6,rape_grain_bulk,rape_grain,45.2,euro,quintal_bulk,01/01/2019
7,corn_grain_bulk,corn_grain,150,euro,ton_bulk,01/01/2019
8,corn_silage_bulk,corn_silage,50,euro,ton_bulk,01/01/2019
9,oat_grain_bulk,oat_grain,145,euro,ton_bulk,01/01/2019
10,oat_straw_bulk,oat_straw,50,euro,ton_bulk,01/01/2019
11,rye_grain_bulk,rye_grain,150,euro,ton_bulk,01/01/2019
12,rye_straw_bulk,rye_straw,30,euro,ton_bulk,01/01/2019
13,buckwheat_grain_bulk,buckwheat_grain,700,euro,ton_bulk,01/01/2019
14,triticale_grain_bulk,triticale_grain,160,euro,ton_bulk,01/01/2019
15,triticale_straw_bulk,triticale_straw,30,euro,ton_bulk,01/01/2019
16,soy_grain_bulk,soy_grain,36.84,euro,quintal_bulk,01/01/2019
17,sunflower_grain_bulk,sunflower_grain,320,euro,ton_bulk,01/01/2019
18,carrot_bulk,carrot,250,euro,ton_bulk,01/01/2019
19,beetroot_bulk,beetroot,45,euro,ton_bulk,01/01/2019
20,pea_grain_bulk,pea_grain,200,euro,ton_bulk,01/01/2019
21,potato_bulk,potato,500,euro,ton_bulk,01/01/2019
22,hard_wheat_grain_bulk,hard_wheat_grain,235,euro,ton_bulk,01/01/2019
23,alfalfa_hay_bulk,alfalfa_hay,130,euro,ton_bulk,01/01/2019
24,alfalfa_silage_bulk,alfalfa_silage,70,euro,ton_bulk,01/01/2019
25,ryegrass_hay_bulk,ryegrass_hay,130,euro,ton_bulk,01/01/2019
26,ryegrass_silage_bulk,ryegrass_silage,55,euro,ton_bulk,01/01/2019
27,clover_silage_bulk,clover_silage,55,euro,ton_bulk,01/01/2019
28,grape_bulk,grape,97.5,euro,quintal_bulk,01/01/2019
29,wine_bulk,wine,225,euro,hectoliter_bulk,01/01/2019
30,common_wheat_grain_bulk,common_wheat_grain,246,euro,ton_bulk,01/07/2021
31,barley_grain_bulk,barley_grain,228,euro,ton_bulk,01/07/2021
32,corn_grain_bulk,corn_grain,302,euro,ton_bulk,01/07/2021
33,grape_bulk_bulk,grape_bulk,97.5,euro,hectoliter_bulk,01/01/2019
