n,name,article,price,currency,packaging,date
1,0_0_18_bulk,0_0_18,300,euro,ton_bulk,01/01/2019
2,0_0_30_6_bulk,0_0_30_6,388,euro,ton_bulk,01/01/2019
3,0_0_30_10_bulk,0_0_30_10,388,euro,ton_bulk,01/01/2019
4,0_0_54_bulk,0_0_54,507,euro,ton_bulk,01/01/2019
5,0_10_20_bulk,0_10_20,309,euro,ton_bulk,01/01/2019
6,0_10_25_bulk,0_10_25,397,euro,ton_bulk,01/01/2019
7,0_10_30_bulk,0_10_30,346,euro,ton_bulk,01/01/2019
8,0_13_26_bulk,0_13_26,283,euro,ton_bulk,01/01/2019
9,0_18_0_bulk,0_18_0,241,euro,ton_bulk,01/01/2019
10,0_20_10_bulk,0_20_10,252,euro,ton_bulk,01/01/2019
11,0_20_30_bulk,0_20_30,352,euro,ton_bulk,01/01/2019
12,0_25_25_bulk,0_25_25,377,euro,ton_bulk,01/01/2019
13,10_15_20_bulk,10_15_20,485,euro,ton_bulk,01/01/2019
14,10_45_0_bulk,10_45_0,1.9,euro,kilo_bulk,01/01/2019
15,10_5_18_bulk,10_5_18,319,euro,ton_bulk,01/01/2019
16,12_27_0_bulk,12_27_0,287,euro,ton_bulk,01/01/2019
17,13_43_0_bulk,13_43_0,0.67,euro,liter_bulk,01/01/2019
18,14_16_10_bulk,14_16_10,337,euro,ton_bulk,01/01/2019
19,14_4_10_bulk,14_4_10,472,euro,ton_bulk,01/01/2019
20,14_6_22_bulk,14_6_22,342,euro,ton_bulk,01/01/2019
21,15_15_15_15_bulk,15_15_15_15,347,euro,ton_bulk,01/01/2019
22,15_15_15_28_bulk,15_15_15_28,359,euro,ton_bulk,01/01/2019
23,15_15_15_8_bulk,15_15_15_8,435,euro,ton_bulk,01/01/2019
24,17_22_0_bulk,17_22_0,388,euro,ton_bulk,01/01/2019
25,20_10_10_18_bulk,20_10_10_18,340,euro,ton_bulk,01/01/2019
26,20_10_10_3_bulk,20_10_10_3,418,euro,ton_bulk,01/01/2019
27,20_8_16_bulk,20_8_16,374,euro,ton_bulk,01/01/2019
28,22_22_0_bulk,22_22_0,455,euro,ton_bulk,01/01/2019
29,24_0_0_18_bulk,24_0_0_18,276,euro,ton_bulk,01/01/2019
30,24_0_0_42_bulk,24_0_0_42,284,euro,ton_bulk,01/01/2019
31,24_0_0_43_bulk,24_0_0_43,282,euro,ton_bulk,01/01/2019
32,25_0_0_28_bulk,25_0_0_28,267,euro,ton_bulk,01/01/2019
33,26_0_0_37_bulk,26_0_0_37,301,euro,ton_bulk,01/01/2019
34,26_0_0_20_bulk,26_0_0_20,322,euro,ton_bulk,01/01/2019
35,8_17_17_bulk,8_17_17,408,euro,ton_bulk,01/01/2019
36,8_30_0_bulk,8_30_0,396,euro,ton_bulk,01/01/2019
37,9_23_0_bulk,9_23_0,417,euro,ton_bulk,01/01/2019
38,ammonitrate_27_bulk,ammonitrate_27,265,euro,ton_bulk,01/01/2019
39,ammonitrate_33_bulk,ammonitrate_33,270,euro,ton_bulk,01/01/2019
40,ammonitrate_34_bulk,ammonitrate_34,300,euro,ton_bulk,01/01/2019
41,calcic_44_bulk,calcic_44,156,euro,ton_bulk,01/01/2019
42,calcic_mixed_bulk,calcic_mixed,160,euro,ton_bulk,01/01/2019
43,quick_lime_92_bulk,quick_lime_92,150,euro,ton_bulk,01/01/2019
44,quick_lime_95_bulk,quick_lime_95,137,euro,ton_bulk,01/01/2019
45,potassium_chloride_bulk,potassium_chloride,330,euro,ton_bulk,01/01/2019
46,dolomite_bulk,dolomite,37,euro,ton_bulk,01/01/2019
47,kieserite_bulk,kieserite,290,euro,ton_bulk,01/01/2019
48,nitrogen_solution_26_bulk,nitrogen_solution_26,0.35,euro,liter_bulk,01/01/2019
49,nitrogen_solution_29_bulk,nitrogen_solution_29,0.35,euro,liter_bulk,01/01/2019
50,nitrogen_solution_39_bulk,nitrogen_solution_39,0.29,euro,liter_bulk,01/01/2019
51,ssp_18_bulk,ssp_18,173,euro,ton_bulk,01/01/2019
52,ammonium_sulphate_bulk,ammonium_sulphate,253,euro,ton_bulk,01/01/2019
53,copper_sulphate_bulk,copper_sulphate,3.9,euro,kilo_bulk,01/01/2019
54,magnesium_sulphate_bulk,magnesium_sulphate,255,euro,ton_bulk,01/01/2019
55,potassium_sulphate_bulk,potassium_sulphate,554,euro,ton_bulk,01/01/2019
56,ammonium_thiosulphate_bulk,ammonium_thiosulphate,0.49,euro,liter_bulk,01/01/2019
57,tsp_45_bulk,tsp_45,334,euro,ton_bulk,01/01/2019
58,urea_46_bulk,urea_46,319,euro,ton_bulk,01/01/2019
59,feather_meal_bulk,feather_meal,625,euro,ton_bulk,01/01/2019
60,dehydrated_hen_dropping_bulk,dehydrated_hen_dropping,10,euro,ton_bulk,01/01/2019
61,sheep_manure_bulk,sheep_manure,20,euro,ton_bulk,01/01/2019
62,cowshed_cattle_manure_bulk,cowshed_cattle_manure,10,euro,ton_bulk,01/01/2019
63,litter_cattle_manure_bulk,litter_cattle_manure,10,euro,ton_bulk,01/01/2019
64,stalls_cattle_manure_bulk,stalls_cattle_manure,10,euro,ton_bulk,01/01/2019
65,slope_cattle_manure_bulk,slope_cattle_manure,10,euro,ton_bulk,01/01/2019
66,scraping_cattle_manure_bulk,scraping_cattle_manure,10,euro,ton_bulk,01/01/2019
67,mixed_cattle_manure_bulk,mixed_cattle_manure,10,euro,ton_bulk,01/01/2019
68,poultry_manure_bulk,poultry_manure,40,euro,ton_bulk,01/01/2019
69,wet_poultry_manure_bulk,wet_poultry_manure,40,euro,ton_bulk,01/01/2019
70,pure_cattle_slurry_bulk,pure_cattle_slurry,7,euro,cubic_meter_bulk,01/01/2019
71,pig_slurry_bulk,pig_slurry,6,euro,cubic_meter_bulk,01/01/2019
72,slatted_floor_pig_slurry_bulk,slatted_floor_pig_slurry,6,euro,cubic_meter_bulk,01/01/2019
73,pit_pig_slurry_bulk,pit_pig_slurry,6,euro,cubic_meter_bulk,01/01/2019
