n,name,article,price,currency,packaging,date
1,alfalfa_herbicide_bulk,alfalfa_herbicide,24,euro,liter_bulk,01/01/2020
2,alfalfa_insecticide_bulk,alfalfa_insecticide,74,euro,liter_bulk,01/01/2020
3,anti_slug_bulk,anti_slug,5,euro,kilo_bulk,01/01/2020
4,beetroot_fungicide_bulk,beetroot_fungicide,37,euro,liter_bulk,01/01/2020
5,beetroot_herbicide_bulk,beetroot_herbicide,24,euro,liter_bulk,01/01/2020
6,beetroot_insecticide_bulk,beetroot_insecticide,74,euro,liter_bulk,01/01/2020
7,carrot_fungicide_bulk,carrot_fungicide,37,euro,liter_bulk,01/01/2020
8,carrot_herbicide_bulk,carrot_herbicide,24,euro,liter_bulk,01/01/2020
9,carrot_insecticide_bulk,carrot_insecticide,74,euro,liter_bulk,01/01/2020
10,hard_wheat_fungicide_bulk,hard_wheat_fungicide,37,euro,liter_bulk,01/01/2020
11,hard_wheat_herbicide_bulk,hard_wheat_herbicide,24,euro,liter_bulk,01/01/2020
12,hard_wheat_insecticide_bulk,hard_wheat_insecticide,74,euro,liter_bulk,01/01/2020
13,pea_fungicide_bulk,pea_fungicide,37,euro,liter_bulk,01/01/2020
14,pea_herbicide_bulk,pea_herbicide,24,euro,liter_bulk,01/01/2020
15,pea_insecticide_bulk,pea_insecticide,74,euro,liter_bulk,01/01/2020
16,potato_fungicide_bulk,potato_fungicide,37,euro,liter_bulk,01/01/2020
17,potato_herbicide_bulk,potato_herbicide,24,euro,liter_bulk,01/01/2020
18,potato_insecticide_bulk,potato_insecticide,74,euro,liter_bulk,01/01/2020
19,rye_growth_regulator_bulk,rye_growth_regulator,10,euro,liter_bulk,01/01/2020
20,rye_herbicide_bulk,rye_herbicide,24,euro,liter_bulk,01/01/2020
21,rye_insecticide_bulk,rye_insecticide,74,euro,liter_bulk,01/01/2020
22,spring_barley_fungicide_bulk,spring_barley_fungicide,37,euro,liter_bulk,01/01/2020
23,spring_barley_growth_regulator_bulk,spring_barley_growth_regulator,10,euro,liter_bulk,01/01/2020
24,spring_barley_herbicide_bulk,spring_barley_herbicide,24,euro,liter_bulk,01/01/2020
25,spring_barley_insecticide_bulk,spring_barley_insecticide,74,euro,liter_bulk,01/01/2020
26,sunflower_herbicide_bulk,sunflower_herbicide,24,euro,liter_bulk,01/01/2020
27,triticale_herbicide_bulk,triticale_herbicide,24,euro,liter_bulk,01/01/2020
28,triticale_insecticide_bulk,triticale_insecticide,74,euro,liter_bulk,01/01/2020
29,winter_barley_fungicide_bulk,winter_barley_fungicide,37,euro,liter_bulk,01/01/2020
30,winter_barley_growth_regulator_bulk,winter_barley_growth_regulator,10,euro,liter_bulk,01/01/2020
31,winter_barley_herbicide_bulk,winter_barley_herbicide,24,euro,liter_bulk,01/01/2020
32,winter_barley_insecticide_bulk,winter_barley_insecticide,74,euro,liter_bulk,01/01/2020
