n,name,article,price,currency,packaging,date
1,common_wheat_seed_bulk,common_wheat_seed,0.69,euro,kilo_bulk,01/01/2019
2,barley_seed_bulk,barley_seed,1,euro,kilo_bulk,01/01/2019
3,rape_seed_bulk,rape_seed,11.51,euro,kilo_bulk,01/01/2019
4,corn_seed_50tg,corn_seed,133.28,euro,50tg_bag,01/01/2019
5,oat_seed_bulk,oat_seed,0.8,euro,kilo_bulk,01/01/2019
6,rye_seed_bulk,rye_seed,1.26,euro,kilo_bulk,01/01/2019
7,buckwheat_seed_bulk,buckwheat_seed,1.7,euro,kilo_bulk,01/01/2019
8,triticale_seed_bulk,triticale_seed,0.64,euro,kilo_bulk,01/01/2019
9,soy_seed_125tg,soy_seed,31.25,euro,125tg_bag,01/01/2019
10,carrot_seed_bulk,carrot_seed,2.5,euro,kilo_bulk,01/01/2019
11,sunflower_seed_150tg,sunflower_seed,186.5,euro,150tg_bag,01/01/2019
12,beetroot_seed_bulk,beetroot_seed,1.52,euro,kilo_bulk,01/01/2019
13,pea_seed_bulk,pea_seed,0.83,euro,kilo_bulk,01/01/2019
14,potato_seed_bulk,potato_seed,0.72,euro,kilo_bulk,01/01/2019
15,hard_wheat_seed_bulk,hard_wheat_seed,0.67,euro,kilo_bulk,01/01/2019
16,alfalfa_seed_bulk,alfalfa_seed,4.8,euro,kilo_bulk,01/01/2019
17,ryegrass_seed_bulk,ryegrass_seed,2.3,euro,kilo_bulk,01/01/2019
18,clover_seed_bulk,clover_seed,5.9,euro,kilo_bulk,01/01/2019
19,rape_seed_bulk,rape_seed,27.5,euro,kilo_bulk,01/10/2021
20,field_bean_seed_unity_bulk,field_bean_seed,2.24,euro,kilo_bulk,01/01/2021
21,vine_seedling_unity_bulk,vine_seedling,1.18,euro,unity_bulk,01/01/2021
22,field_bean_seed_kilo_bulk,field_bean_seed,0.95,euro,kilo_bulk,01/01/2020
23,field_bean_organic_seed_bulk,field_bean_organic_seed,2,euro,kilo_bulk,01/01/2020
