reference_name,activity_family,fra,eng,specie,usage,started_on,stopped_on,agroedi_crop_code,season,life_duration,idea_botanic_family,idea_specie_family,idea_output_family,support_unit
milk_cow,animal_farming,Vaches laitières,Milk cows,bos_taurus,milk,01/09/00,31/08/01,,,20,,,,head
meat_cow,animal_farming,Vaches allaitantes,Meat cows,bos_taurus,meat,01/09/00,31/08/01,,,20,,,,head
heifer,animal_farming,Genisses,Heifer,bos_taurus,meat,01/09/00,31/08/01,,,20,,,,head
young_bull,animal_farming,Taurillons,Young bull,bos_taurus,meat,01/09/00,31/08/01,,,20,,,,head
calf,animal_farming,Veaux,Calf,bos_taurus,meat,01/09/00,31/08/01,,,20,,,,head
alpaca,animal_farming,Alpagas,Alpaca,,wool,01/09/00,31/08/01,,,15,,,,head
beehive,animal_farming,Ruches,Beehive,apis_mellifera,honey,01/09/00,31/08/01,,,5,,,,head
boar,animal_farming,Verrats,Boar,sus_scrofa,reproduction,01/09/00,31/08/01,,,5,,,,head
broiler_chicken,animal_farming,Poulets de chair,Broiler chicken,gallus_gallus,meat,01/09/00,31/08/01,,,1,,,,head
buck,animal_farming,Boucs,Buck,capra_hircus,reproduction,01/09/00,31/08/01,,,8,,,,head
buffalo,animal_farming,Buffles,Buffalo,,milk,01/09/00,31/08/01,,,15,,,,head
bull,animal_farming,Taureaux reproducteurs,Bull,bos_taurus,reproduction,01/09/00,31/08/01,,,8,,,,head
carp,animal_farming,Carpes,Carp,,fish,01/09/00,31/08/01,,,4,,,,head
dairy_heifer,animal_farming,Génisses laitières,Dairy heifer,bos_taurus,milk,01/09/00,31/08/01,,,3,,,,head
deer,animal_farming,Cerfs,Deer,,meat,01/09/00,31/08/01,,,5,,,,head
doe_rabbit,animal_farming,Lapines reproductrices,Doe rabbit,oryctolagus_cuniculus,reproduction,01/09/00,31/08/01,,,3,,,,head
donkey,animal_farming,Ânes,Donkey,equus_asinus,work,01/09/00,31/08/01,,,20,,,,head
draft_horse,animal_farming,Chevaux de trait,Draft horse,equus_caballus,work,01/09/00,31/08/01,,,20,,,,head
duck_meat,animal_farming,Canards de chair,Meat duck,anas_platyrhynchos,meat,01/09/00,31/08/01,,,1,,,,head
earthworm,animal_farming,Vers de terre,Earthworm,,compost,01/09/00,31/08/01,,,1,,,,head
fallow_deer,animal_farming,Daims,Fallow deer,,meat,01/09/00,31/08/01,,,5,,,,head
fattened_duck,animal_farming,Canards gras,Fattened duck,anas_platyrhynchos,foie_gras,01/09/00,31/08/01,,,1,,,,head
