reference_name,activity_family,fra,eng,specie,usage,started_on,stopped_on,agroedi_crop_code,season,life_duration,idea_botanic_family,idea_specie_family,idea_output_family,support_unit
administrative,administering,Gestion administrative,Administrative,service,,01/01/00,31/12/00,,,20,,,,unity
maintenance,tool_maintaining,Maintenance équipements,Maintenance,service,,01/01/00,31/12/00,,,20,,,,unity
accounting,administering,Comptabilité,Accounting,service,service,01/01/00,31/12/00,,,20,,,,unity
buildings_management,tool_maintaining,Gestion des bâtiments,Buildings management,service,service,01/01/00,31/12/00,,,20,,,,unity
cold_storage,tool_maintaining,Stockage froid,Cold storage,service,service,01/01/00,31/12/00,,,20,,,,unity
commercial_management,administering,Gestion commerciale,Commercial management,service,service,01/01/00,31/12/00,,,20,,,,unity
experimentation,tool_maintaining,Expérimentation / R&D,Experimentation,service,service,01/01/00,31/12/00,,,20,,,,unity
fencing_management,tool_maintaining,Gestion des clôtures,Fencing management,service,service,01/01/00,31/12/00,,,20,,,,unity
fertilization,tool_maintaining,Fertilisation,Fertilization,service,service,01/01/00,31/12/00,,,20,,,,unity
fodder_storage,tool_maintaining,Stockage fourrages,Fodder storage,service,service,01/01/00,31/12/00,,,20,,,,unity
grain_storage,tool_maintaining,Stockage céréales/grains,Grain storage,service,service,01/01/00,31/12/00,,,20,,,,unity
harvest_logistics,tool_maintaining,Logistique de récolte,Harvest logistics,service,service,01/01/00,31/12/00,,,20,,,,unity
human_resources,administering,Gestion du personnel,Human resources,service,service,01/01/00,31/12/00,,,20,,,,unity
irrigation,tool_maintaining,Irrigation,Irrigation,service,service,01/01/00,31/12/00,,,20,,,,unity
plant_protection,tool_maintaining,Protection des cultures,Plant protection,service,service,01/01/00,31/12/00,,,20,,,,unity
regulatory_compliance,administering,Gestion réglementaire/PAC,Regulatory compliance,service,service,01/01/00,31/12/00,,,20,,,,unity
soil_preparation,tool_maintaining,Préparation des sols,Soil preparation,service,service,01/01/00,31/12/00,,,20,,,,unity
water_management,tool_maintaining,Gestion de l'eau,Water management,service,service,01/01/00,31/12/00,,,20,,,,unity
