cap_code,cap_label,production,cap_precision,cap_category,is_seed
AVH,Avoine d’hiver,winter_oat,,TA,
AVP,Avoine de printemps,spring_oat,,TA,
BDH,Blé dur d’hiver,winter_hard_wheat,,TA,
BDP,Blé dur de printemps,spring_hard_wheat,,TA,
BTH,Blé tendre d’hiver,winter_common_wheat,,TA,
BTP,Blé tendre de printemps,spring_common_wheat,,TA,
EPE,Épeautre,spelt,,TA,
MID,Maïs doux,sweet_corn,,TA,
MIS,Maïs,grain_corn,,TA,
MLT,Millet,millet,,TA,
MOH,Moha,foxtail_millet,,TA,
ORH,Orge d'hiver,winter_barley,,TA,
ORP,Orge de printemps,spring_barley,,TA,
RIZ,Riz,rice,,TA,
SRS,Sarrasin,buckwheat,,TA,
SGH,Seigle d’hiver,winter_rye,,TA,
SGP,Seigle de printemps,spring_rye,,TA,
SOG,Sorgho,sorghum,,TA,
TTH,Triticale d’hiver,winter_triticale,,TA,
TTP,Triticale de printemps,spring_triticale,,TA,
CAG,Autre céréale ou pseudo-céréale d’un autre genre,quinoa,,TA,
CAH,Autre céréale ou pseudo-céréale secondaire d’hiver,cereal,,TA,
MCR,Mélange de céréales ou pseudo-céréales d’hiver entre elles,cereal_mix,,TA,
MCS,Mélange de céréales ou pseudo-céréales de printemps entre elles,cereal_mix,,TA,
CML,Cameline,camelina,,TA,
CZH,Colza d’hiver,winter_rape,,TA,
CZP,Colza de printemps,spring_rape,,TA,
LIH,Lin non textile d’hiver,winter_flax,,TA,
LIP,Lin non textile de printemps,spring_flax,,TA,
MOT,Moutarde,mustard,,TA,
OEI,Œillette (Pavot),opium_poppy,,TA,
TRN,Tournesol,sunflower,,TA,
OHR,Autre oléagineux d’hiver d’espèce Brassica rapa,winter_brassica_rapa_oleaginous,,TA,
OAG,Autre oléagineux d’un autre genre,oleaginous,,TA,
ARA,Arachide,peanut,,TA,
FEV,Fève,broad_bean,,TA,
FNU,Fenugrec,fenugreek,,TA,
FVL,Féverole,winter_field_bean,,TA,
FVP,Féverole,spring_field_bean,,TA,
GES,Gesse,withe_pea,,TA,
GES,Cornille,black_eyed_pea,,TA,
GES,Dolique,catjang,,TA,
GES,Jarosse,tufted_vetch,,TA,
LEC,Lentille cultivée (non fourragère),fresh_lentil,,TA,
LDH,Lupin doux d’hiver,winter_sweet_lupin,,TA,
LDP,Lupin doux de printemps,spring_sweet_lupin,,TA,
LOT,Lotier,birds_foot_trefoil,,TA,
LOT,Minette,black_medick,,TA,
PCH,Pois chiche,chickpea,,TA,
PHI,Pois d’hiver,winter_proteaginous_pea,,TA,
PPR,Pois de printemps,spring_proteaginous_pea,,TA,
PHS,Pois et haricot secs,dried_bean,1,TA,
PHS,Pois et haricot secs,dried_pea,2,TA,
PHF,Pois et haricot frais,green_bean,1,TA,
PHF,Pois et haricot frais,pea,2,TA,
LUZ,Luzerne,alfalfa,,TA,
SAI,Sainfoin,sainfoin,,TA,
SOJ,Soja,soy,,TA,
TRE,Trèfle,clover,,TA,
VES,Vesce,common_vetch,,TA,
VES,Mélilot,melilot,,TA,
VES,Serradelle,birds_foot,,TA,
PAG,Autre protéagineux d’un autre genre,proteaginous,,TA,
MLF,Mélange de légumineuses fourragères (entre elles),leguminous_mix,,TA,
MPC,Mélange de protéagineux prépondérants (pois et/ou lupin et/ou féverole) et de céréales,fodder_species_mix,,TA,
MLC,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,fodder_species_mix,,TA,
CPL,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),fodder_species_mix,,TA,
CID,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,interrow,,TA,
CIT,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,interrow,,TA,
MDI,Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes,annual_vegetable,,TA,
SHD,Surfaces hautement diversifiées (DOM),annual_vegetable,,CP,
MLG,Mélange de légumineuses prépondérantes et de graminées fourragères de 5 ans ou moins,meadow,,TA,
PTR,Autre prairie temporaire de 5 ans ou moins,meadow,,TA,
GRA,Graminée pure exclusivement pour gazon ou pour production de semences certifiées,ryegrass,,TA,
JAC,Jachère (terre arable),fallow,,TA,
PPH,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),meadow,,PP,
SPH,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,meadow,,PP,
SPL,Surface pastorale - ressources fourragères ligneuses prédominantes,meadow,,PP,
CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants,chesnut,,PP,
CEE,Chênaie entretenue par des porcins ou des petits ruminants,oak,,PP,
BTN,Betterave non fourragère / Bette,beetroot,1,TA,
BTN,Betterave fourragère,fodder_beetroot,2,TA,
CHV,Chanvre,hemp,,TA,
CSA,Canne à sucre,sugar_cane,1,CP,
HBL,Houblon,hop,,CP,
LIF,Lin fibres,fiber_flax,,TA,
PTC,Pomme de terre de consommation,potato,1,TA,
PTC,Pomme de terre féculière,potato_starch,2,TA,
TAB,Tabac,tobacco,,TA,
AIL,Ail,garlic,,TA,
ANA,Ananas,pineapple,,TA,
ART,Artichaut,artichoke,,TA,
BEF,Banane export,banana,1,CP,
BCA,Banane hors export,banana,1,CP,
CAR,Carotte potagère,carrot,1,TA,
CAR,Carotte fourragère,fodder_carrot,2,TA,
CEL,Céleri,celery,,TA,
CHU,Chou,cabbage,1,TA,
CHU,Chou fourrager,fodder_cabbage,2,TA,
CCN,Concombre,cucumber,1,TA,
CCN,Courgette,zucchini,2,TA,
EPI,Epinard,winter_spinach,1,TA,
EPI,Oseille,sorrel,2,TA,
EPI,Bette,chard,3,TA,
FRA,Fraise,strawberry,,TA,
LBF,Endive,curly_endive,1,TA,
LBF,Laitue,lettuce,2,TA,
LBF,Mâche,cornsalad,3,TA,
LBF,Batavia,batavia,4,TA,
MLO,Melon,melon,1,TA,
MLO,Pastèque,watermelon,2,TA,
NVT,Navet potager,early_turnip,1,TA,
NVT,Navet fourrager,fodder_turnip,2,TA,
NVT,Salsifis,salsify,3,TA,
NVT,Panais,parsnip,4,TA,
NVT,Topinambour,jerusalem_artichoke,5,TA,
NVT,Autres navets,summer_field_mustard,6,TA,
OIG,Oignon,onion,1,TA,
OIG,Echalotte,shallot,2,TA,
RDI,Radis,radish,1,TA,
RDI,Radis fourrager,fodder_radish,2,TA,
POR,Poireau,leek,,TA,
PVP,Poivron,pepper,1,TA,
PVP,Piment,chili,2,TA,
PVP,Aubergine,eggplant,3,TA,
POT,Potiron,sugar_pumpkin,1,TA,
POT,Citrouille,pumpkin,2,TA,
TOM,Tomate,tomato,1,TA,
TBT,Tubercule tropical,cassava,1,TA,
TBT,Curcuma,turmeric,2,TA,
FLA,Autre légume ou fruit annuel,annual_fruit,,TA,
FLP,Autre légume ou fruit pérenne,perennial_vegetable,,CP,
AGR,Agrume,lemon,,CP,
CAC,Café,coffee,1,CP,
CAC,Cacao,cocoa,2,CP,
CBT,Cerise,cherry,,CP,
CTG,Châtaigne,chesnut,,CP,
NOS,Noisette,hazelnut,,CP,
NOX,Noix,walnut,,CP,
OLI,Oliveraie,olive,,CP,
PVT,Pêche Pavie pour transformation,peach,,CP,
PWT,Poire Williams pour transformation,pear,,CP,
PRU,Prune d’Ente pour transformation,plum,,CP,
VRG,Abricot,apricot,1,CP,
VRG,Amande,almond,2,CP,
VRG,Pomme,apple,3,CP,
VRG,Avocat,avocado,4,CP,
PFR,Petit fruit à baie (hors fraise),bilberry,1,CP,
PFR,Petit fruit à baie (hors fraise),raspberry,2,CP,
PFR,Petit fruit à baie (hors fraise),redcurrant,3,CP,
PFR,Petit fruit à baie (hors fraise),blackcurrant,6,CP,
PPP,Plantes médicinales pérennes,perrenial_ornamental_plant_and_mapp,,CP,
VRC,Vigne,vine,1,CP,
ARP,Estragon,tarragon,1,CP,
ARP,Marjolaine,marjoram,2,CP,
ARP,Origan,oregano,2,CP,
ARP,Romarin,rosemary,3,CP,
ARP,Sariette,savory,4,CP,
ARP,Thym,thyme,5,CP,
ARP,Sauge,sage,6,CP,
VNL,Vanille,vanilla,,CP,
AAR,Aneth,dill,1,TA,
AAR,Basilic,basil,2,TA,
AAR,Ciboulette,chive,3,TA,
AAR,Coriandre,coriander,4,TA,
AAR,Fenouil,fennel,5,TA,
AAR,Menthe,mint,6,TA,
AAR,Sariette,savory,8,TA,
PSL,Persil,parsley,,TA,
PRF,Géranium,geranium,1,CP,
PRF,Vétiver,vetiver,3,CP,
PRF,Ylang-ylang,ylang_ylang,5,CP,
LAV,Lavande,lavender,1,CP,
LAV,Lavandin,lavandin,2,CP,
AME,Angélique,angelica,1,TA,
AME,Bardane,burdock,2,TA,
AME,Camomille,chamomile,3,TA,
AME,Marguerite,oxeye_daisy,5,TA,
AME,Ortie,nettle,6,TA,
AME,Pâquerette,common_daisy,7,TA,
AME,Pensée,pansy,7,TA,
AME,Plantain psyllium,blond_psyllium,8,TA,
AME,Primevère,primrose,7,TA,
AME,Psyllium noir de Provence,black_psyllium,8,TA,
AME,Valériane,valerian,9,TA,
PME,Mélisse,lemon_balm,3,CP,
PME,Sauge,sage,4,CP,
HPC,Horticulture ornementale,annual_ornamental_plant_and_mapp,,TA,
AFG,Autre plante fourragère sarclée d’un autre genre,fodder_specie,,TA,
JNO,Jachère sanitaire imposée par l’administration,fallow,,TA,
MSW,Miscanthus,miscanthus,,CP,
ACP,Bambou,miscanthus,,CP,
PEV,Pépinière (moins 1 an),nursery,,CP,
PEP,Pépinière (plus de 1 an),nursery,,CP,
TRU,Truffière (plants mycorhizés),wood,,CP,
TCR,Taillis à courte rotation,eucalyptus,8,CP,
SBO,Boissement,wood,,SB,
BOR,Bordure de champ,border_field,,,
BFS,Bande admissible le long d’une forêt sans production,border_forest,,,
BTA,Bande tampon,border,,,
CSS,Culture sous serre hors sol,crop_production,,NA,
MRS,Marais salant,crop_production,,NA,
SAG,Roselière,crop_production,,NA,
SNU,Parc d'élevage de monogastriques avec couvert dégradé,crop_production,,NA,
SNE,Surface agricole temporairement non exploitée,fallow,,NA,
SIN,Surface pastorale non utilisé,meadow,,NA,
MIS,Maïs semence,seed_corn,,TA,1
TRN,Tournesol semence,seed_sunflower,,TA,1
