year,month,campaign,zone,production_label,specie,waiting_price,final_price,price_unit,product_output_specie
2021,11,2021,France,Maïs MATIF,zea_mays,0,"225,5",ton,grain
2022,1,2021,France,Maïs MATIF,zea_mays,0,"225,25",ton,grain
2022,3,2021,France,Maïs MATIF,zea_mays,0,"226,5",ton,grain
2022,6,2021,France,Maïs MATIF,zea_mays,0,"228,5",ton,grain
2022,11,2022,France,Maïs MATIF,zea_mays,0,"201,25",ton,grain
2022,5,2021,France,Colza MATIF,brassica_napus_napus,0,"601,25",ton,grain
2022,2,2021,France,Colza MATIF,brassica_napus_napus,0,"613,5",ton,grain
2022,8,2022,France,Colza MATIF,brassica_napus_napus,0,507,ton,grain
2021,11,2021,France,Colza MATIF,brassica_napus_napus,0,"626,25",ton,grain
2021,12,2021,France,Blé MATIF,triticum_aestivum,0,"254,25",ton,grain
2022,3,2021,France,Blé MATIF,triticum_aestivum,0,248,ton,grain
2022,5,2021,France,Blé MATIF,triticum_aestivum,0,245,ton,grain
2022,9,2022,France,Blé MATIF,triticum_aestivum,0,224,ton,grain
2022,12,2022,France,Blé MATIF,triticum_aestivum,0,"226,25",ton,grain
2023,3,2022,France,Maïs MATIF,zea_mays,0,298,ton,grain
2023,6,2022,France,Maïs MATIF,zea_mays,0,"295,25",ton,grain
2023,8,2022,France,Maïs MATIF,zea_mays,0,297,ton,grain
2023,11,2023,France,Maïs MATIF,zea_mays,0,279,ton,grain
2024,3,2023,France,Maïs MATIF,zea_mays,0,280,ton,grain
2024,6,2023,France,Maïs MATIF,zea_mays,0,291,ton,grain
2024,8,2023,France,Maïs MATIF,zea_mays,0,253,ton,grain
2024,11,2023,France,Maïs MATIF,zea_mays,0,255,ton,grain
2023,5,2022,France,Colza MATIF,brassica_napus_napus,0,"553,5",ton,grain
2023,8,2022,France,Colza MATIF,brassica_napus_napus,0,"551,25",ton,grain
2023,11,2023,France,Colza MATIF,brassica_napus_napus,0,"551,75",ton,grain
2024,2,2023,France,Colza MATIF,brassica_napus_napus,0,"551,25",ton,grain
2024,5,2023,France,Colza MATIF,brassica_napus_napus,0,"549,5",ton,grain
2024,8,2023,France,Colza MATIF,brassica_napus_napus,0,520,ton,grain
2024,11,2024,France,Colza MATIF,brassica_napus_napus,0,501,ton,grain
2025,2,2024,France,Colza MATIF,brassica_napus_napus,0,"428,25",ton,grain
2025,5,2024,France,Colza MATIF,brassica_napus_napus,0,"428,25",ton,grain
2025,8,2024,France,Colza MATIF,brassica_napus_napus,0,"428,25",ton,grain
2023,3,2022,France,Blé MATIF,triticum_aestivum,0,"299,5",ton,grain
2023,5,2022,France,Blé MATIF,triticum_aestivum,0,"296,75",ton,grain
2023,9,2023,France,Blé MATIF,triticum_aestivum,0,"286,75",ton,grain
2023,12,2023,France,Blé MATIF,triticum_aestivum,0,"287,75",ton,grain
2024,3,2023,France,Blé MATIF,triticum_aestivum,0,"288,75",ton,grain
2024,5,2023,France,Blé MATIF,triticum_aestivum,0,"288,75",ton,grain
2024,9,2024,France,Blé MATIF,triticum_aestivum,0,"270,75",ton,grain
2025,3,2024,France,Blé MATIF,triticum_aestivum,0,"264,75",ton,grain
2025,5,2024,France,Blé MATIF,triticum_aestivum,0,"270,25",ton,grain
2025,9,2025,France,Blé MATIF,triticum_aestivum,0,252,ton,grain
2025,12,2025,France,Blé MATIF,triticum_aestivum,0,"250,5",ton,grain
