reference_name,activity_family,fra,eng,specie,usage,started_on,stopped_on,agroedi_crop_code,season,life_duration,idea_botanic_family,idea_specie_family,idea_output_family,color
alfalfa,plant_farming,Luzerne,Alfalfa,medicago_sativa,fodder,01/02/00,31/01/01,ZCQ,,10,,,,
almond,plant_farming,Amande,Almond,prunus_dulcis,fruit,01/11/00,31/08/01,,,25,,,,
angelica,plant_farming,Angélique,Angelica,angelica,plant,01/11/00,31/08/01,E21,,,,,,
anise,plant_farming,Anis,Anise,pimpinella_anisum,grain,01/04/00,30/09/00,E22,,,,,,
annual_fruit,plant_farming,Fruit annuel,Annual fruit,plant,fruit,01/10/00,31/08/01,J01,,,,,,
annual_ornamental_plant_and_mapp,plant_farming,Plante ornementale et PPAM annuelle,Annual ornamental plant and MAPP,plant,plant,01/10/00,31/08/01,,,,,,,
annual_vegetable,plant_farming,Légume annuel,Annual vegetable,plant,vegetable,01/10/00,31/08/01,J02,,,,,,
apple,plant_farming,Pomme,Apple,malus_domestica,fruit,01/03/00,30/06/00,G21,,25,,,,
apricot,plant_farming,Abricot,Apricot,prunus_armeniaca,fruit,01/11/00,31/08/01,E01,,25,,,,
artichoke,plant_farming,Artichaut,Artichoke,cynara_scolymus,vegetable,01/03/00,31/10/00,ZAJ,,,asteraceae,cynara_cardunculus,root_tuber_bulb,
asparagus,plant_farming,Asperge,Asparagus,asparagus_officianalis,vegetable,01/03/00,31/10/00,ZAK,,,asparagaceae,asparagus_officinalis,root_tuber_bulb,
avocado,plant_farming,Avocat,Avocado,persea_americana,fruit,01/10/00,31/08/01,E27,,15,,,,
banana,plant_farming,Banane,Banana,musa,fruit,01/10/00,31/08/01,E34,,25,,,,
basil,plant_farming,Basilic,Basil,ocimum_basilicum,plant,01/03/00,31/10/00,E36,,,,,,
batavia,plant_farming,Batavia,Batavia,lactuca_sativa_capitata,vegetable,01/04/00,31/10/00,ZCJ,,,asteraceae,lactuca_sativa,root_tuber_bulb,
