started_on,campaign,zone,production_label,specie,waiting_price,final_price,price_unit,product_output_specie
01/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"254,86",ton,grain
02/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"252,86",ton,grain
03/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"255,36",ton,grain
06/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"255,36",ton,grain
07/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"253,36",ton,grain
08/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"252,36",ton,grain
09/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"250,19",ton,grain
10/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"250,11",ton,grain
13/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"248,16",ton,grain
14/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"253,06",ton,grain
15/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"253,06",ton,grain
16/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"259,36",ton,grain
17/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"260,36",ton,grain
20/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"256,86",ton,grain
21/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"257,53",ton,grain
22/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"261,61",ton,grain
23/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"263,86",ton,grain
24/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"263,36",ton,grain
27/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"262,86",ton,grain
28/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"267,36",ton,grain
29/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"267,11",ton,grain
30/09/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"267,86",ton,grain
01/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"274,79",ton,grain
04/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"273,29",ton,grain
05/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"270,79",ton,grain
06/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"274,09",ton,grain
07/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"271,79",ton,grain
08/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"277,79",ton,grain
11/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"274,79",ton,grain
12/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"271,29",ton,grain
13/10/2021,2021,France,Blé tendre La Pallice FAW 1 FOB,triticum_aestivum,0,"272,29",ton,grain
