date,zone,production_label,specie,min_price,max_price,price_unit,product_output_specie,organic
12/09/2012,FRANCE,Viande vache race lait,bos_taurus,"310,75","333,86",quintal,meat,
19/09/2012,FRANCE,Viande vache race lait,bos_taurus,"307,63","330,43",quintal,meat,
26/09/2012,FRANCE,Viande vache race lait,bos_taurus,"304,25","328,71",quintal,meat,
03/10/2012,FRANCE,Viande vache race lait,bos_taurus,"303,25","327,29",quintal,meat,
10/10/2012,FRANCE,Viande vache race lait,bos_taurus,"300,63","325,57",quintal,meat,
17/10/2012,FRANCE,Viande vache race lait,bos_taurus,"296,00","321,14",quintal,meat,
24/10/2012,FRANCE,Viande vache race lait,bos_taurus,"290,50","316,29",quintal,meat,
31/10/2012,FRANCE,Viande vache race lait,bos_taurus,"288,63","314,86",quintal,meat,
07/11/2012,FRANCE,Viande vache race lait,bos_taurus,"287,25","314,14",quintal,meat,
14/11/2012,FRANCE,Viande vache race lait,bos_taurus,"287,00","314,43",quintal,meat,
21/11/2012,FRANCE,Viande vache race lait,bos_taurus,"287,25","314,71",quintal,meat,
28/11/2012,FRANCE,Viande vache race lait,bos_taurus,"288,00","314,86",quintal,meat,
05/12/2012,FRANCE,Viande vache race lait,bos_taurus,"287,75","314,29",quintal,meat,
12/12/2012,FRANCE,Viande vache race lait,bos_taurus,"289,38","314,57",quintal,meat,
19/12/2012,FRANCE,Viande vache race lait,bos_taurus,"293,20","317,50",quintal,meat,
26/12/2012,FRANCE,Viande vache race lait,bos_taurus,"282,67","310,00",quintal,meat,
02/01/2013,FRANCE,Viande vache race lait,bos_taurus,"293,63","317,14",quintal,meat,
09/01/2013,FRANCE,Viande vache race lait,bos_taurus,"296,50","319,00",quintal,meat,
16/01/2013,FRANCE,Viande vache race lait,bos_taurus,"298,50","320,71",quintal,meat,
23/01/2013,FRANCE,Viande vache race lait,bos_taurus,"303,75","324,43",quintal,meat,
30/01/2013,FRANCE,Viande vache race lait,bos_taurus,"308,25","328,57",quintal,meat,
06/02/2013,FRANCE,Viande vache race lait,bos_taurus,"311,00","331,71",quintal,meat,
13/02/2013,FRANCE,Viande vache race lait,bos_taurus,"313,13","332,14",quintal,meat,
20/02/2013,FRANCE,Viande vache race lait,bos_taurus,"314,63","333,43",quintal,meat,
27/02/2013,FRANCE,Viande vache race lait,bos_taurus,"318,25","336,29",quintal,meat,
06/03/2013,FRANCE,Viande vache race lait,bos_taurus,"320,63","338,71",quintal,meat,
13/03/2013,FRANCE,Viande vache race lait,bos_taurus,"324,75","342,14",quintal,meat,
20/03/2013,FRANCE,Viande vache race lait,bos_taurus,"325,75","344,00",quintal,meat,
27/03/2013,FRANCE,Viande vache race lait,bos_taurus,"325,88","344,57",quintal,meat,
03/04/2013,FRANCE,Viande vache race lait,bos_taurus,"324,63","342,86",quintal,meat,
10/04/2013,FRANCE,Viande vache race lait,bos_taurus,"323,38","342,14",quintal,meat,
17/04/2013,FRANCE,Viande vache race lait,bos_taurus,"323,00","341,00",quintal,meat,
24/04/2013,FRANCE,Viande vache race lait,bos_taurus,"324,25","343,57",quintal,meat,
01/05/2013,FRANCE,Viande vache race lait,bos_taurus,"326,38","345,00",quintal,meat,
08/05/2013,FRANCE,Viande vache race lait,bos_taurus,"330,50","346,40",quintal,meat,
15/05/2013,FRANCE,Viande vache race lait,bos_taurus,"330,88","348,29",quintal,meat,
22/05/2013,FRANCE,Viande vache race lait,bos_taurus,"331,88","349,43",quintal,meat,
29/05/2013,FRANCE,Viande vache race lait,bos_taurus,"332,00","349,57",quintal,meat,
05/06/2013,FRANCE,Viande vache race lait,bos_taurus,"331,75","349,29",quintal,meat,
12/06/2013,FRANCE,Viande vache race lait,bos_taurus,"330,63","348,29",quintal,meat,
19/06/2013,FRANCE,Viande vache race lait,bos_taurus,"329,13","346,86",quintal,meat,
26/06/2013,FRANCE,Viande vache race lait,bos_taurus,"330,00","347,71",quintal,meat,
03/07/2013,FRANCE,Viande vache race lait,bos_taurus,"329,63","348,00",quintal,meat,
10/07/2013,FRANCE,Viande vache race lait,bos_taurus,"329,75","348,86",quintal,meat,
17/07/2013,FRANCE,Viande vache race lait,bos_taurus,"330,00","348,86",quintal,meat,
24/07/2013,FRANCE,Viande vache race lait,bos_taurus,"329,38","348,86",quintal,meat,
31/07/2013,FRANCE,Viande vache race lait,bos_taurus,"325,86","346,14",quintal,meat,
07/08/2013,FRANCE,Viande vache race lait,bos_taurus,"321,00","342,29",quintal,meat,
14/08/2013,FRANCE,Viande vache race lait,bos_taurus,"319,14","340,86",quintal,meat,
21/08/2013,FRANCE,Viande vache race lait,bos_taurus,"317,75","340,43",quintal,meat,
28/08/2013,FRANCE,Viande vache race lait,bos_taurus,"313,50","338,00",quintal,meat,
04/09/2013,FRANCE,Viande vache race lait,bos_taurus,"305,88","331,71",quintal,meat,
11/09/2013,FRANCE,Viande vache race lait,bos_taurus,"295,13","323,43",quintal,meat,
18/09/2013,FRANCE,Viande vache race lait,bos_taurus,"286,38","317,71",quintal,meat,
25/09/2013,FRANCE,Viande vache race lait,bos_taurus,"280,00","311,29",quintal,meat,
02/10/2013,FRANCE,Viande vache race lait,bos_taurus,"276,75","307,71",quintal,meat,
09/10/2013,FRANCE,Viande vache race lait,bos_taurus,"276,75","307,71",quintal,meat,
16/10/2013,FRANCE,Viande vache race lait,bos_taurus,"277,38","308,43",quintal,meat,
23/10/2013,FRANCE,Viande vache race lait,bos_taurus,"278,13","309,14",quintal,meat,
30/10/2013,FRANCE,Viande vache race lait,bos_taurus,"277,75","309,14",quintal,meat,
06/11/2013,FRANCE,Viande vache race lait,bos_taurus,"271,88","305,29",quintal,meat,
13/11/2013,FRANCE,Viande vache race lait,bos_taurus,"266,13","299,43",quintal,meat,
20/11/2013,FRANCE,Viande vache race lait,bos_taurus,"258,38","292,14",quintal,meat,
27/11/2013,FRANCE,Viande vache race lait,bos_taurus,"255,88","289,14",quintal,meat,
04/12/2013,FRANCE,Viande vache race lait,bos_taurus,"255,88","288,43",quintal,meat,
11/12/2013,FRANCE,Viande vache race lait,bos_taurus,"259,00","290,71",quintal,meat,
18/12/2013,FRANCE,Viande vache race lait,bos_taurus,"263,43","292,00",quintal,meat,
25/12/2013,FRANCE,Viande vache race lait,bos_taurus,"253,75","290,50",quintal,meat,
01/01/2014,FRANCE,Viande vache race lait,bos_taurus,"259,00","293,17",quintal,meat,
08/01/2014,FRANCE,Viande vache race lait,bos_taurus,"263,63","293,14",quintal,meat,
15/01/2014,FRANCE,Viande vache race lait,bos_taurus,"262,63","291,57",quintal,meat,
22/01/2014,FRANCE,Viande vache race lait,bos_taurus,"261,50","289,86",quintal,meat,
29/01/2014,FRANCE,Viande vache race lait,bos_taurus,"263,13","291,57",quintal,meat,
05/02/2014,FRANCE,Viande vache race lait,bos_taurus,"267,38","294,86",quintal,meat,
12/02/2014,FRANCE,Viande vache race lait,bos_taurus,"272,50","300,29",quintal,meat,
19/02/2014,FRANCE,Viande vache race lait,bos_taurus,"276,38","304,86",quintal,meat,
26/02/2014,FRANCE,Viande vache race lait,bos_taurus,"280,00","307,00",quintal,meat,
05/03/2014,FRANCE,Viande vache race lait,bos_taurus,"279,88","306,57",quintal,meat,
12/03/2014,FRANCE,Viande vache race lait,bos_taurus,"280,50","305,86",quintal,meat,
19/03/2014,FRANCE,Viande vache race lait,bos_taurus,"280,38","304,57",quintal,meat,
26/03/2014,FRANCE,Viande vache race lait,bos_taurus,"279,75","303,43",quintal,meat,
02/04/2014,FRANCE,Viande vache race lait,bos_taurus,"277,63","301,86",quintal,meat,
09/04/2014,FRANCE,Viande vache race lait,bos_taurus,"276,57","301,86",quintal,meat,
16/04/2014,FRANCE,Viande vache race lait,bos_taurus,"277,00","302,29",quintal,meat,
23/04/2014,FRANCE,Viande vache race lait,bos_taurus,"278,63","302,71",quintal,meat,
30/04/2014,FRANCE,Viande vache race lait,bos_taurus,"278,88","303,71",quintal,meat,
07/05/2014,FRANCE,Viande vache race lait,bos_taurus,"280,50","306,43",quintal,meat,
14/05/2014,FRANCE,Viande vache race lait,bos_taurus,"282,25","307,86",quintal,meat,
21/05/2014,FRANCE,Viande vache race lait,bos_taurus,"281,50","307,71",quintal,meat,
28/05/2014,FRANCE,Viande vache race lait,bos_taurus,"280,38","306,29",quintal,meat,
04/06/2014,FRANCE,Viande vache race lait,bos_taurus,"277,75","304,57",quintal,meat,
11/06/2014,FRANCE,Viande vache race lait,bos_taurus,"275,88","303,14",quintal,meat,
18/06/2014,FRANCE,Viande vache race lait,bos_taurus,"274,38","301,43",quintal,meat,
25/06/2014,FRANCE,Viande vache race lait,bos_taurus,"273,50","300,71",quintal,meat,
02/07/2014,FRANCE,Viande vache race lait,bos_taurus,"272,88","300,00",quintal,meat,
09/07/2014,FRANCE,Viande vache race lait,bos_taurus,"268,29","297,83",quintal,meat,
16/07/2014,FRANCE,Viande vache race lait,bos_taurus,"271,71","298,33",quintal,meat,
23/07/2014,FRANCE,Viande vache race lait,bos_taurus,"270,25","298,71",quintal,meat,
30/07/2014,FRANCE,Viande vache race lait,bos_taurus,"271,88","300,43",quintal,meat,
06/08/2014,FRANCE,Viande vache race lait,bos_taurus,"272,50","300,71",quintal,meat,
13/08/2014,FRANCE,Viande vache race lait,bos_taurus,"273,75","302,86",quintal,meat,
20/08/2014,FRANCE,Viande vache race lait,bos_taurus,"272,13","301,71",quintal,meat,
27/08/2014,FRANCE,Viande vache race lait,bos_taurus,"269,13","298,57",quintal,meat,
03/09/2014,FRANCE,Viande vache race lait,bos_taurus,"266,13","295,29",quintal,meat,
10/09/2014,FRANCE,Viande vache race lait,bos_taurus,"261,88","291,43",quintal,meat,
17/09/2014,FRANCE,Viande vache race lait,bos_taurus,"257,25","288,14",quintal,meat,
24/09/2014,FRANCE,Viande vache race lait,bos_taurus,"253,13","285,00",quintal,meat,
01/10/2014,FRANCE,Viande vache race lait,bos_taurus,"249,25","281,29",quintal,meat,
08/10/2014,FRANCE,Viande vache race lait,bos_taurus,"245,00","276,29",quintal,meat,
15/10/2014,FRANCE,Viande vache race lait,bos_taurus,"241,25","271,29",quintal,meat,
22/10/2014,FRANCE,Viande vache race lait,bos_taurus,"238,88","269,00",quintal,meat,
29/10/2014,FRANCE,Viande vache race lait,bos_taurus,"235,38","264,83",quintal,meat,
05/11/2014,FRANCE,Viande vache race lait,bos_taurus,"231,57","261,00",quintal,meat,
12/11/2014,FRANCE,Viande vache race lait,bos_taurus,"228,38","256,00",quintal,meat,
19/11/2014,FRANCE,Viande vache race lait,bos_taurus,"224,88","253,50",quintal,meat,
26/11/2014,FRANCE,Viande vache race lait,bos_taurus,"222,75","251,50",quintal,meat,
03/12/2014,FRANCE,Viande vache race lait,bos_taurus,"222,25","251,50",quintal,meat,
10/12/2014,FRANCE,Viande vache race lait,bos_taurus,"222,50","252,17",quintal,meat,
17/12/2014,FRANCE,Viande vache race lait,bos_taurus,"223,13","252,17",quintal,meat,
24/12/2014,FRANCE,Viande vache race lait,bos_taurus,"222,17","253,20",quintal,meat,
31/12/2014,FRANCE,Viande vache race lait,bos_taurus,"225,25","253,00",quintal,meat,
07/01/2015,FRANCE,Viande vache race lait,bos_taurus,"228,00","250,71",quintal,meat,
14/01/2015,FRANCE,Viande vache race lait,bos_taurus,"227,88","253,17",quintal,meat,
21/01/2015,FRANCE,Viande vache race lait,bos_taurus,"227,13","251,00",quintal,meat,
28/01/2015,FRANCE,Viande vache race lait,bos_taurus,"226,43","250,67",quintal,meat,
04/02/2015,FRANCE,Viande vache race lait,bos_taurus,"228,75","252,17",quintal,meat,
11/02/2015,FRANCE,Viande vache race lait,bos_taurus,"235,43","257,20",quintal,meat,
18/02/2015,FRANCE,Viande vache race lait,bos_taurus,"237,50","260,50",quintal,meat,
25/02/2015,FRANCE,Viande vache race lait,bos_taurus,"242,75","264,50",quintal,meat,
04/03/2015,FRANCE,Viande vache race lait,bos_taurus,"246,50","268,33",quintal,meat,
11/03/2015,FRANCE,Viande vache race lait,bos_taurus,"249,50","270,83",quintal,meat,
18/03/2015,FRANCE,Viande vache race lait,bos_taurus,"250,38","271,67",quintal,meat,
25/03/2015,FRANCE,Viande vache race lait,bos_taurus,"250,63","272,00",quintal,meat,
01/04/2015,FRANCE,Viande vache race lait,bos_taurus,"250,88","272,33",quintal,meat,
08/04/2015,FRANCE,Viande vache race lait,bos_taurus,"251,13","272,33",quintal,meat,
15/04/2015,FRANCE,Viande vache race lait,bos_taurus,"253,13","274,33",quintal,meat,
22/04/2015,FRANCE,Viande vache race lait,bos_taurus,"254,50","276,00",quintal,meat,
29/04/2015,FRANCE,Viande vache race lait,bos_taurus,"256,50","278,50",quintal,meat,
06/05/2015,FRANCE,Viande vache race lait,bos_taurus,"259,63","280,67",quintal,meat,
13/05/2015,FRANCE,Viande vache race lait,bos_taurus,"264,00","284,50",quintal,meat,
20/05/2015,FRANCE,Viande vache race lait,bos_taurus,"267,38","287,83",quintal,meat,
27/05/2015,FRANCE,Viande vache race lait,bos_taurus,"271,13","291,67",quintal,meat,
03/06/2015,FRANCE,Viande vache race lait,bos_taurus,"273,13","293,50",quintal,meat,
10/06/2015,FRANCE,Viande vache race lait,bos_taurus,"270,80","290,00",quintal,meat,
17/06/2015,FRANCE,Viande vache race lait,bos_taurus,"274,14","295,00",quintal,meat,
24/06/2015,FRANCE,Viande vache race lait,bos_taurus,"275,75","296,67",quintal,meat,
01/07/2015,FRANCE,Viande vache race lait,bos_taurus,"277,25","298,17",quintal,meat,
08/07/2015,FRANCE,Viande vache race lait,bos_taurus,"275,43","297,80",quintal,meat,
