date,zone,production_label,specie,min_price,max_price,price_unit,product_output_specie,organic
12/09/2012,FRANCE,Viande vache race mixte,bos_taurus,"353,00","361,67",quintal,meat,
19/09/2012,FRANCE,Viande vache race mixte,bos_taurus,"350,33","361,67",quintal,meat,
26/09/2012,FRANCE,Viande vache race mixte,bos_taurus,"348,17","360,33",quintal,meat,
03/10/2012,FRANCE,Viande vache race mixte,bos_taurus,"346,83","359,00",quintal,meat,
10/10/2012,FRANCE,Viande vache race mixte,bos_taurus,"345,33","358,00",quintal,meat,
17/10/2012,FRANCE,Viande vache race mixte,bos_taurus,"342,67","354,67",quintal,meat,
24/10/2012,FRANCE,Viande vache race mixte,bos_taurus,"339,00","352,00",quintal,meat,
31/10/2012,FRANCE,Viande vache race mixte,bos_taurus,"337,83","350,00",quintal,meat,
07/11/2012,FRANCE,Viande vache race mixte,bos_taurus,"337,50","347,50",quintal,meat,
14/11/2012,FRANCE,Viande vache race mixte,bos_taurus,"337,50","350,00",quintal,meat,
21/11/2012,FRANCE,Viande vache race mixte,bos_taurus,"338,50","350,00",quintal,meat,
28/11/2012,FRANCE,Viande vache race mixte,bos_taurus,"339,00","350,00",quintal,meat,
05/12/2012,FRANCE,Viande vache race mixte,bos_taurus,"339,00","350,00",quintal,meat,
12/12/2012,FRANCE,Viande vache race mixte,bos_taurus,"339,50","350,00",quintal,meat,
19/12/2012,FRANCE,Viande vache race mixte,bos_taurus,"342,40","360,00",quintal,meat,
26/12/2012,FRANCE,Viande vache race mixte,bos_taurus,"335,33","340,00",quintal,meat,
02/01/2013,FRANCE,Viande vache race mixte,bos_taurus,"340,86","352,50",quintal,meat,
09/01/2013,FRANCE,Viande vache race mixte,bos_taurus,"342,29","355,00",quintal,meat,
16/01/2013,FRANCE,Viande vache race mixte,bos_taurus,"346,00","355,00",quintal,meat,
23/01/2013,FRANCE,Viande vache race mixte,bos_taurus,"349,14","357,50",quintal,meat,
30/01/2013,FRANCE,Viande vache race mixte,bos_taurus,"353,57","362,50",quintal,meat,
06/02/2013,FRANCE,Viande vache race mixte,bos_taurus,"356,57","365,00",quintal,meat,
