date,zone,production_label,specie,min_price,max_price,price_unit,product_output_specie,organic
12/09/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"402,20","440,25",quintal,meat,
19/09/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"398,50","435,60",quintal,meat,
26/09/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"396,83","434,60",quintal,meat,
03/10/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"396,50","434,20",quintal,meat,
10/10/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"396,50","432,80",quintal,meat,
17/10/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"393,00","429,80",quintal,meat,
24/10/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"392,17","429,80",quintal,meat,
31/10/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"394,43","431,83",quintal,meat,
07/11/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"403,83","432,33",quintal,meat,
14/11/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"405,33","433,33",quintal,meat,
21/11/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"397,86","435,00",quintal,meat,
28/11/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"398,57","435,50",quintal,meat,
05/12/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"399,29","436,33",quintal,meat,
12/12/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"399,14","437,17",quintal,meat,
19/12/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"409,60","441,20",quintal,meat,
26/12/2012,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"391,00","434,67",quintal,meat,
02/01/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"401,00","439,33",quintal,meat,
09/01/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"402,29","441,50",quintal,meat,
16/01/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"404,17","448,40",quintal,meat,
23/01/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"407,29","449,17",quintal,meat,
30/01/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"410,14","451,00",quintal,meat,
06/02/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"411,71","451,67",quintal,meat,
13/02/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"413,00","453,33",quintal,meat,
20/02/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"414,43","455,17",quintal,meat,
27/02/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"416,71","456,33",quintal,meat,
06/03/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"420,43","462,67",quintal,meat,
13/03/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"423,14","466,67",quintal,meat,
20/03/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"421,00","468,20",quintal,meat,
27/03/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"421,83","469,80",quintal,meat,
03/04/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"425,50","474,20",quintal,meat,
10/04/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"425,50","474,20",quintal,meat,
17/04/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"425,00","473,60",quintal,meat,
24/04/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"428,57","473,50",quintal,meat,
01/05/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"429,00","474,33",quintal,meat,
08/05/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"433,33","480,20",quintal,meat,
15/05/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"434,00","478,17",quintal,meat,
22/05/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"437,14","483,50",quintal,meat,
29/05/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"440,57","486,50",quintal,meat,
05/06/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"441,57","486,17",quintal,meat,
12/06/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"441,29","486,50",quintal,meat,
19/06/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"442,29","487,83",quintal,meat,
26/06/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"442,29","488,33",quintal,meat,
03/07/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"442,00","488,33",quintal,meat,
10/07/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"441,29","486,67",quintal,meat,
17/07/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"440,86","485,83",quintal,meat,
24/07/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"436,43","481,33",quintal,meat,
31/07/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"433,71","479,00",quintal,meat,
07/08/2013,FRANCE,Viande Génisses type viande / mixte / laitier,bos_taurus,"426,50","473,40",quintal,meat,
