date,zone,production_label,specie,min_price,max_price,price_unit,product_output_specie,organic
12/09/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
19/09/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"337,50","337,50",quintal,meat,
26/09/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"340,00","340,00",quintal,meat,
03/10/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"340,00","340,00",quintal,meat,
10/10/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"340,00","340,00",quintal,meat,
17/10/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"337,00","337,00",quintal,meat,
24/10/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"340,00","340,00",quintal,meat,
31/10/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"340,00","340,00",quintal,meat,
07/11/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"335,00","335,00",quintal,meat,
14/11/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"338,00","338,00",quintal,meat,
21/11/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"340,00","340,00",quintal,meat,
28/11/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"342,00","342,00",quintal,meat,
05/12/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"342,00","342,00",quintal,meat,
12/12/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"342,00","342,00",quintal,meat,
19/12/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"342,00","342,00",quintal,meat,
26/12/2012,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"342,00","342,00",quintal,meat,
02/01/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"345,00","345,00",quintal,meat,
09/01/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
16/01/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
23/01/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
30/01/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
06/02/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
13/02/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
20/02/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
27/02/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
06/03/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"355,00","355,00",quintal,meat,
13/03/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"355,00","355,00",quintal,meat,
20/03/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"355,00","355,00",quintal,meat,
27/03/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"355,00","355,00",quintal,meat,
03/04/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
10/04/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
17/04/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
24/04/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
01/05/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
08/05/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,.,.,quintal,meat,
15/05/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
22/05/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
29/05/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
05/06/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
12/06/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
19/06/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
26/06/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
03/07/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"347,00","347,00",quintal,meat,
10/07/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"350,00","350,00",quintal,meat,
17/07/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"353,00","353,00",quintal,meat,
24/07/2013,FRANCE,Viande jeunes bovins type laitier Cot O,bos_taurus,"355,00","355,00",quintal,meat,
