campaign,zone,production_label,specie,production,yield_value,yield_unit
2021,01,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2022,01,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,0",quintal_per_hectare
2023,01,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0",quintal_per_hectare
2024,01,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2025,01,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,0",quintal_per_hectare
2021,02,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0",quintal_per_hectare
2022,02,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"86,0",quintal_per_hectare
2023,02,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"86,0",quintal_per_hectare
2024,02,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0",quintal_per_hectare
2025,02,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"87,0",quintal_per_hectare
2021,03,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0",quintal_per_hectare
2022,03,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"46,0",quintal_per_hectare
2023,03,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"60,0",quintal_per_hectare
2024,03,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"49,0",quintal_per_hectare
2025,03,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0",quintal_per_hectare
2021,04,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,6",quintal_per_hectare
2022,04,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"27,9",quintal_per_hectare
2023,04,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"30,1",quintal_per_hectare
2024,04,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"41,1",quintal_per_hectare
2025,04,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"40,0",quintal_per_hectare
2021,05,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"43,8",quintal_per_hectare
2022,05,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"26,7",quintal_per_hectare
2023,05,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"29,7",quintal_per_hectare
2024,05,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"42,1",quintal_per_hectare
2025,05,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"41,0",quintal_per_hectare
2021,06,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"20,0",quintal_per_hectare
2022,06,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"21,0",quintal_per_hectare
2023,06,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"25,1",quintal_per_hectare
2024,06,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"29,5",quintal_per_hectare
2025,06,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"30,6",quintal_per_hectare
2021,07,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"42,0",quintal_per_hectare
2022,07,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2023,07,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2024,07,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"42,0",quintal_per_hectare
2025,07,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2021,08,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,0",quintal_per_hectare
2022,08,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"84,0",quintal_per_hectare
2023,08,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"80,4",quintal_per_hectare
2024,08,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"60,2",quintal_per_hectare
2025,08,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0",quintal_per_hectare
2021,09,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2022,09,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"46,0",quintal_per_hectare
2023,09,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,4",quintal_per_hectare
2024,09,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2025,09,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2021,10,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,0",quintal_per_hectare
2022,10,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"81,0",quintal_per_hectare
2023,10,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,0",quintal_per_hectare
2024,10,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2025,10,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"81,0",quintal_per_hectare
2021,11,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,0",quintal_per_hectare
