department,production_label,specie,production,2021,2022,2023,2024,yield_unit
77,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0","85,0","84,0","62,0",quintal_per_hectare
78,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"80,0","83,0","77,0","62,0",quintal_per_hectare
91,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"81,0","84,0","79,0","62,0",quintal_per_hectare
93,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0","86,0","84,1","65,7",quintal_per_hectare
94,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"81,0","84,0","79,1","61,9",quintal_per_hectare
95,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0","86,0","84,0","65,6",quintal_per_hectare
18,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0","56,5","65,0","56,0",quintal_per_hectare
28,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0","83,0","81,0","68,0",quintal_per_hectare
36,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,0","58,0","68,0","55,0",quintal_per_hectare
37,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0","63,0","71,0","57,0",quintal_per_hectare
41,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,0","68,5","72,0","61,0",quintal_per_hectare
45,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"73,0","70,5","69,0","59,0",quintal_per_hectare
21,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0","58,0","57,0","53,0",quintal_per_hectare
25,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0","56,0","62,0","44,0",quintal_per_hectare
39,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0","70,0","70,0","52,0",quintal_per_hectare
58,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"60,0","58,0","60,0","46,0",quintal_per_hectare
70,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,0","67,0","65,0","53,0",quintal_per_hectare
71,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,0","66,0","68,0","52,0",quintal_per_hectare
89,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,0","58,0","63,0","53,0",quintal_per_hectare
90,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,0","67,0","65,0","53,0",quintal_per_hectare
14,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,0","86,0","80,0","77,0",quintal_per_hectare
27,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0","88,0","88,0","74,0",quintal_per_hectare
50,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0","80,0","74,0","68,0",quintal_per_hectare
61,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"71,0","78,0","79,0","61,0",quintal_per_hectare
76,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"78,0","98,0","89,0","75,0",quintal_per_hectare
02,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0","86,0","86,0","62,0",quintal_per_hectare
59,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0","96,0","92,0","72,0",quintal_per_hectare
60,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0","85,0","86,0","69,0",quintal_per_hectare
62,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"80,0","96,0","92,0","77,0",quintal_per_hectare
80,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0","92,0","89,0","75,0",quintal_per_hectare
08,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,0","84,0","80,4","60,2",quintal_per_hectare
10,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,0","81,0","79,0","59,0",quintal_per_hectare
51,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0","87,0","85,0","56,5",quintal_per_hectare
52,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0","61,0","62,0","57,6",quintal_per_hectare
