reference_name,fra,eng,dimension,symbol,a,d,b
acre,Acre,Acre,surface_area,acre,4046.856422400,,
ampere,Ampère,Ampere,electric_current,A,1,,
are,Are,Are,surface_area,a,100.000000000,,
bar,Bar,Bar,pressure,bar,100000.000000000,,
billion,Milliard,Billion,none,G.,1000000000.000000000,,
billion_per_gram,Milliard par gramme,Billion per gram,mass_density,G./g,1000000000.000000000,0.001000,
billionth,Milliardième,Billionth,none,n.,0.000000001,,
candela,Candela,Candela,luminous_intensity,cd,1,,
celsius,Celsius,Celsius,temperature,°C,1,,273.150000000
centiliter,Centilitre,Centiliter,volume,cl,0.010000,,
centiliter_per_hectoliter,Centilitre par hectolitre,Centiliter per hectoliter,volume_concentration,cl/hl,0.010000,100.000000000,
centiliter_per_liter,Centilitre par litre,Centiliter per liter,volume_concentration,cl/l,0.010000,1,
centimeter,Centimètre,Centimeter,distance,cm,0.010000000,,
centimole,Centimole,Centimole,amount_of_substance,cmol,0.010000000,,
centimole_per_kilogram,Centimole par kilogramme,Centimole per kilogram,amount_of_substance_density,cmol/kg,0.010000000,,
cubic_centimeter,Centimètre cube,Cubic centimeter,volume,cm³,0.001000,,
cubic_meter,Mètre cube,Cubic meter,volume,m³,1000,,
cubic_meter_per_hectare,Mètre cube par hectare,Cubic meter per hectare,volume_area_density,m³/ha,1000.000000000,10000.000000000,
cubic_meter_per_hour,Mètre cube par heure,Cubic meter per hour,volume_flow,m³/h,1000.000000000,3600.000000000,
day,Jour,Day,time,d,86400.000000000,,
degree,Degré,Degree,angle,°,3.141592654,180.000000000,
dozen,Douzaine,Dozen,none,dz,12.000000000,,
english_horsepower,Cheval-vapeur anglais,English horsepower,power,hp,745.699800000,,
farenheit,Farenheit,Farenheit,temperature,°F,1.800000000,,459.670000000
french_horsepower,Cheval-vapeur français,French horsepower,power,ch,735.500000000,,
gradian,Gradian,Gradian,angle,gr,3.141592654,200.000000000,
gram,Gramme,Gram,mass,g,0.001000000,,
gram_per_hectoliter,Gramme par hectolitre,Gram per hectoliter,mass_concentration,g/hl,0.0010000000,100.000000000,
gram_per_kilogram,Gramme par kilogramme,Gram per kilogram,none,g/kg,0.001000,1,
gram_per_liter,Gramme par litre,Gram per liter,mass_concentration,g/l,0.0010000000,1,
gram_per_square_meter,Gramme par mètre carré,Gram per square meter,mass_area_density,g/m²,0.001000000,1,
head,Tête,Head,none,♞,1,1,
head_per_hour,Tête par heure,Head per hour,unity_flow,♞/h,1,3600.000000000,
hectare,Hectare,Hectare,surface_area,ha,10000.000000000,,
hectare_per_hour,Hectare par heure,Hectare per hour,surface_area_flow,ha/h,10000.000000000,3600.000000000,
hectoliter,Hectolitre,Hectoliter,volume,hl,100.0000,,
hectoliter_per_hectare,Hectolitre par hectare,Hectoliter per hectare,volume_area_density,hl/ha,0.100000000,10000.000000000,
hectopascal,Hectopascal,Hectopascal,pressure,hPa,100.000000000,,
hour,Heure,Hour,time,h,3600.000000000,,
hundred,Centaine,Hundred,none,h.,100.000000000,,
joule,Joule,Joule,energy,J,1,,
kelvin,Kelvin,Kelvin,temperature,K,1,,
kilogram,Kilogramme,Kilogram,mass,kg,1,,
kilogram_per_cubic_meter,Kilogramme par mètre cube,Kilogram per cubic meter,mass_concentration,kg/m³,1,1000.000000000,
kilogram_per_day,Kilogramme par jour,Kilogram per day,mass_flow,kg/d,1,86400.000000000,
kilogram_per_head,Kilogramme par tête,Kilogram per head,mass_unity_density,kg/♞,1,1,
kilogram_per_hectare,Kilogramme par hectare,Kilogram per hectare,mass_area_density,kg/ha,1,10000.000000000,
kilogram_per_hectoliter,Kilogramme par hectolitre,Kilogram per hectoliter,mass_concentration,kg/hl,1,100.000000000,
kilogram_per_liter,Kilogramme par litre,Kilogram per liter,mass_concentration,kg/l,1,1,
kilogram_per_second,Kilogramme par seconde,Kilogram per second,mass_flow,kg/s,1,1,
kilogram_per_square_meter,Kilogramme par mètre carré,Kilogram per square meter,mass_area_density,kg/m²,1,1,
kilometer,Kilomètre,Kilometer,distance,km,1000.000000000,,
kilometer_per_hour,Kilomètre par heure,Kilometer per hour,distance_speed,km/h,1000.000000000,3600.000000000,
kilometer_per_second,Kilomètre par seconde,Kilometer per second,distance_speed,km/s,1000.000000000,1,
kilopascal,Kilopascal,Kilopascal,pressure,kPa,1000.000000000,,
kilowatt,Kilowatt,Kilowatt,power,kW,1000.000000000,,
kilowatt_hour,Kilowatt-heure,Kilowatt hour,energy,kWh,3600000.000000000,,
liter,Litre,Liter,volume,l,1,,
liter_per_head,Litre par tête,Liter per head,volume_unity_density,l/♞,1,1,
liter_per_hectare,Litre par hectare,Liter per hectare,volume_area_density,l/ha,1,10000.000000000,
liter_per_hour,Litre par heure,Liter per hour,volume_flow,l/h,1,3600.000000000,
liter_per_minute,Litre par minute,Liter per minute,volume_flow,l/min,1,60.000000000,
liter_per_square_meter,Litre par mètre carré,Liter per square meter,volume_area_density,l/m²,1,1,
mass_percent,Pourcentage de masse,Mass percent,none,%kg,0.01,,
megawatt,Mégawatt,Megawatt,power,MW,1000000.000000000,,
meter,Mètre,Meter,distance,m,1,,
meter_per_second,Mètre par seconde,Meter per second,distance_speed,m/s,1,1,
microgram,Microgramme,Microgram,mass,µg,0.000001000,,
microgram_per_liter,Microgramme par litre,Microgram per liter,mass_concentration,µg/l,0.000001000,1,
milliampere,Milliampere,Milliampere,electric_current,mA,0.001000000,,
milliequivalent,Milli-équivalent,Milliequivalent,amount_of_substance,meq,0.001000000,,
milliequivalent_per_hundred_gram,Milli-équivalent pour 100 grammes,Milliequivalent per hundred gram,amount_of_substance_density,meq/100g,0.100000000,0.100000000,
milligram,Milligramme,Milligram,mass,mg,0.000001000,,
milligram_per_kilogram,Milligramme par kilogramme,Milligram per kilogram,none,mg/kg,0.000001000,1,
milligram_per_liter,Milligramme par litre,Milligram per liter,mass_concentration,mg/l,0.001000000,1,
milliliter,Millilitre,Milliliter,volume,ml,0.001000,,
milliliter_per_liter,Millilitre par litre,Milliliter per liter,volume_concentration,ml/l,0.001000,1,
millimeter,Millimètre,Millimeter,distance,mm,0.001000000,,
millimeter_per_hour,Millimètre par heure,Millimeter per hour,distance_speed,mm/h,0.001000000,3600.000000000,
million,Million,Million,none,M.,1000000.000000000,,
million_per_hectare,Million par hectare,Million per hectare,surface_area_density,M./ha,1000000.000000000,10000.000000000,
million_per_liter,Million par litre,Million per liter,concentration,M./l,1000000.000000000,1,
millionth,Millionième,Millionth,none,µ.,0.000001000,,
millisecond,Milliseconde,Millisecond,time,ms,0.001000000,,
minute,Minute,Minute,time,min,60.000000000,,
mole,Mole,Mole,amount_of_substance,mol,1,,
mole_per_kilogram,Mole par kilogramme,Mole per kilogram,amount_of_substance_density,mol/kg,1,1,
parts_per_million,Partie par millions (ppm),Parts per million,none,ppm,0.0000001,1,
pascal,Pascal,Pascal,pressure,Pa,1,,
percent,Pourcent,Percent,none,%,0.01,,
quintal,Quintal,Quintal,mass,q,100.000000000,,
quintal_per_hectare,Quintal par hectare,Quintal per hectare,mass_area_density,q/ha,100.000000000,10000.000000000,
radian,Radian,Radian,angle,rad,1,,
second,Seconde,Second,time,s,1,,
square_centimeter,Centimètre carré,Square centimeter,surface_area,cm²,0.000100000,,
square_meter,Mètre carré,Square meter,surface_area,m²,1,,
thousand,Millier,Thousand,none,k.,1000.000000000,,
thousand_per_hectare,Millier par hectare,Thousand per hectare,surface_area_density,k./ha,1000.000000000,10000.000000000,
thousand_per_hectogram,Millier par hectogramme,Thousand per hectogram,mass_density,k./hg,1000.000000000,0.100000000,
thousand_per_kilogram,Millier par kilogramme,Thousand per kilogram,mass_density,k./kg,1000.000000000,1,
thousand_per_liter,Millier par litre,Thousand per liter,concentration,k./l,1000.000000000,1,
thousand_per_milliliter,Millier par millilitre,Thousand per milliliter,concentration,k./ml,1000.000000000,0.001000,
thousandth,Millième,Thousandth,none,m.,0.001000000,,
ton,Tonne,Ton,mass,t,1000.000000000,,
ton_per_hectare,Tonne par hectare,Ton per hectare,mass_area_density,t/ha,1000.000000000,10000.000000000,
unity,Unité,Unity,none,.,1,,
unity_per_head,Unité par tête,Unity per head,unity_unity_density,./♞,1,1,
unity_per_hectare,Unité par hectare,Unity per hectare,surface_area_density,./ha,1,10000.000000000,
unity_per_kilogram,Unité par kilogramme,Unity per kilogram,mass_density,./kg,1,1,
unity_per_liter,Unité par litre,Unity per liter,concentration,./l,1,1,
unity_per_square_meter,Unité par mètre carré,Unity per square meter,surface_area_density,./m²,1,1,
watt,Watt,Watt,power,W,1,,
watt_per_square_meter,Watt par mètre carré,Watt per square meter,heat_flux_density,W/m²,1,1,
