reference_name,fra,eng,category,nature,specie,pictogram
breeding_bunny,Lapereau,Breeding bunny,young_breeding_animal,mammal,oryctolagus_cuniculus,uf97f-rabbit.svg
breeding_calf,Veau reproducteur,Breeding calf,young_breeding_animal,mammal,bos_taurus,uf05a-cow.svg
breeding_cat,Chat reproducteur,Breeding cat,adult_breeding_animal,mammal,felis_silvestris_catus,uf980-cat.svg
breeding_colt,Ânon reproducteur,Breeding colt,young_breeding_animal,mammal,equus_asinus,uf982-donkey.svg
breeding_cow,Vache,Breeding cow,adult_breeding_animal,mammal,bos_taurus,uf05a-cow.svg
breeding_dog,Chien reproducteur,Breeding dog,adult_breeding_animal,mammal,canis_lupus_familiaris,uf981-dog.svg
breeding_donkey,Âne reproducteur,Breeding donkey,adult_breeding_animal,mammal,equus_asinus,uf982-donkey.svg
breeding_foal,Poulain reproducteur,Breeding foal,young_breeding_animal,mammal,equus_caballus,uf983-horse.svg
breeding_goat,Chèvre,Breeding goat,adult_breeding_animal,mammal,capra_hircus,uf985-goat.svg
breeding_hare,Lièvre,Breeding hare,adult_breeding_animal,mammal,lepus_europaeus,uf97f-rabbit.svg
breeding_horse,Cheval reproducteur,Breeding horse,adult_breeding_animal,mammal,equus_caballus,uf983-horse.svg
breeding_kid,Chevreau reproducteur,Breeding kid,young_breeding_animal,mammal,capra_hircus,uf985-goat.svg
breeding_kitten,Chaton,Breeding kitten,young_breeding_animal,mammal,felis_silvestris_catus,uf980-cat.svg
breeding_lamb,Agneau reproducteur,Breeding lamb,young_breeding_animal,mammal,ovis_aries,uf2eb-sheep.svg
breeding_leveret,Levraut,Breeding leveret,young_breeding_animal,mammal,lepus_europaeus,uf97f-rabbit.svg
breeding_pig,Porc,Breeding pig,adult_breeding_animal,mammal,sus_scrofa,uf97d-pig.svg
breeding_piglet,Porcelet,Breeding piglet,young_breeding_animal,mammal,sus_scrofa,uf97d-pig.svg
breeding_puppy,Chiot,Breeding puppy,young_breeding_animal,mammal,canis_lupus_familiaris,uf981-dog.svg
