reference_name,fra,eng,category,nature,sub_family,main_indicator,id_agrovoc,pictogram
alternative_harrow,Herse alternative,Alternative harrow,equipment,harrow,trailed_equipment,application_width,http://aims.fao.org/aos/agrovoc/c_3498,uf91a-disc-harrow.svg
animal_trailer,'Remorque de transport d''animaux',Animal trailer,equipment,animal_trailer,trailed_equipment,,,uf938-trailer.svg
animal_vehicle,'Véhicule de transport d''animaux',Animal vehicle,equipment,animal_vehicle,motorized_equipment,,,ufa19-animal-vehicule.svg
antidrift_panel,Panneau récupérateur,Antidrift panel,equipment,sprayer,trailed_equipment,rows_count,,ufa16-antidrift-panel.svg
arboricultural_cultivator,Cultivateur arboricole,Arboricultural cultivator,equipment,superficial_plowing_equipment,trailed_equipment,,,uf93a-vibrocultivator.svg
arboricultural_mounted_jet_sprayer,Pulvérisateur à jet porté arboricole,Arboricultural mounted jet sprayer,equipment,sprayer,trailed_equipment,nominal_storable_net_volume,,uf930-sprayer.svg
arboricultural_platform,Passerelle de récolte arboricole,Arboricultural platform,equipment,platform,motorized_equipment,,,ufa15-arboricultural-platform.svg
arboricultural_pneumatic_sprayer,Pulvérisateur pneumatique arboricole,Arboricultural pneumatic sprayer,equipment,sprayer,trailed_equipment,nominal_storable_net_volume,,uf930-sprayer.svg
arboricultural_tractor,Tracteur arboricole,Arboricultural tractor,equipment,tractor,motorized_equipment,motor_power,,uf153-tractor.svg
arboricultural_weeding_boom,Rampe de désherbage arboricole,Arboricultural weeding boom,equipment,sprayer,trailed_equipment,,,uf930-sprayer.svg
automatic_feed_dispenser,Distributeur automatique de concentré,Automatic feed dispenser,equipment,food_distributor,fixed_equipment,,http://aims.fao.org/aos/agrovoc/c_25711,ufa18-feed-dispenser.svg
back_arboricultural_wood_rake,Andaineur arboricole arrière,Back arboricultural wood rake,equipment,wood_rake,trailed_equipment,,,uf999-wood-rake.svg
bale_collector,Groupeur de balles,Bale collector,equipment,bale_collector,trailed_equipment,,,uf997-bale-collector.svg
baler_wrapper,Presse enrubanneuse,Baler wrapper,equipment,baler,trailed_equipment,nominal_storable_net_volume,http://aims.fao.org/aos/agrovoc/c_793,uf917-baler-wrapper.svg
barrel,Barrique,Barrel,equipment,tank,fixed_equipment,,,uf946-barrel.svg
beet_harvester,Arracheuse de betteraves,Beet harvester,equipment,harvester,trailed_equipment,rows_count,,uf91e-harvester.svg
beet_leaves_remover,Effeuilleuse de betteraves,Beet leaves remover,equipment,cutting_equipment,trailed_equipment,rows_count,http://aims.fao.org/aos/agrovoc/c_25766,uf91c-grinder.svg
beet_picker,Ramasseuse chargeuse de betteraves,Beet picker,equipment,harvester,trailed_equipment,nominal_storable_net_mass,,uf91e-harvester.svg
blade_intercep_tv,Intercep lames | Vigne étroite,Blade intercep | Tiny vine,equipment,mechanical_weeder,trailed_equipment,element_count,,uf999-wood-rake.svg
blade_intercep_vtv,Intercep lames | Vigne très étroite,Blade intercep | Very tiny vine,equipment,mechanical_weeder,trailed_equipment,rows_count,,uf999-wood-rake.svg
borehole,Forage,Borehole,equipment,water_extracter,fixed_equipment,length,http://aims.fao.org/aos/agrovoc/c_6370,ufa11-borehole.svg
brush_intercep_tv,Intercep brosses | Vigne étroite,Brush intercep | Tiny vine,equipment,mechanical_weeder,trailed_equipment,element_count,,uf999-wood-rake.svg
brush_intercep_vtv,Intercep brosses | Vigne très étroite,Brush intercep | Very tiny vine,equipment,mechanical_weeder,trailed_equipment,rows_count,,uf999-wood-rake.svg
cambridge_roller,Rouleau cambridge,Cambridge roller,equipment,roll,trailed_equipment,application_width,http://aims.fao.org/aos/agrovoc/c_6636,uf92a-roll.svg
car,Voiture,Car,equipment,vehicule,motorized_equipment,,,uf973-truck-pickup.svg
carrot_harvester,Arracheuse de carottes,Carrot harvester,equipment,harvester,trailed_equipment,rows_count,http://aims.fao.org/aos/agrovoc/c_25863,uf91e-harvester.svg
cereal_hoe,Bineuse céréales,Cereal hoe,equipment,hoe,trailed_equipment,application_width,http://aims.fao.org/aos/agrovoc/c_25733,uf922-hoe.svg
chemical_trunck_cleaner,Épampreuse chimique,Chemical trunck cleaner,equipment,cutting_equipment,trailed_equipment,element_count,,uf974-trunck-cleaner.svg
chisel,Chisel lourd,Chisel,equipment,superficial_plowing_equipment,trailed_equipment,application_width,http://aims.fao.org/aos/agrovoc/c_2019,uf933-subsoil-plow.svg
cider_apple_harvester,Ramasseuse de pommes à cidre,Cider apple harvester,equipment,harvester,trailed_equipment,nominal_storable_net_volume,,ufa17-apple-harvester.svg
