reference_name,fra,eng,category,nature,default_unit,target_specie,indicator_1_name,indicator_1_value,indicator_1_unit,indicator_2_name,indicator_2_value,indicator_2_unit,indicator_3_name,indicator_3_value,indicator_3_unit,pictogram
alcohol,Alcool,Alcohol,processed_product,alcohol,liter,,,,,,,,,,,uf28c-bottles.svg
alfalfa_hay,Foin de Luzerne,Alfalfa hay,plant_derivative,hay,ton,medicago_sativa,mass_volume_density,130,kilogram_per_cubic_meter,,,,,,,uf95a-hay.svg
alfalfa_silage,Ensilage de Luzerne,Alfalfa silage,plant_derivative,silage,ton,medicago_sativa,,,,,,,,,,uf98d-silo.svg
angelica,Angélique,Angelica,plant_derivative,plant_derivative,kilogram,angelica,,,,,,,,,,uf940-seedling-solid.svg
anise_grain,Graine d'Anis,Anise grain,plant_derivative,grain,quintal,pimpinella_anisum,,,,,,,,,,uf989-seed.svg
apple,Pomme,Apple,fruit_and_vegetable,fruit,ton,malus_domestica,,,,,,,,,,uf987-fruits.svg
apricot,Abricot,Apricot,fruit_and_vegetable,fruit,ton,prunus_armeniaca,,,,,,,,,,uf987-fruits.svg
artichoke,Artichaut,Artichoke,fruit_and_vegetable,vegetable,ton,cynara_scolymus,,,,,,,,,,uf988-carrot.svg
asparagus,Asperge,Asparagus,fruit_and_vegetable,vegetable,ton,asparagus_officianalis,,,,,,,,,,uf988-carrot.svg
avocado,Avocat,Avocado,fruit_and_vegetable,fruit,ton,persea_americana,,,,,,,,,,uf987-fruits.svg
banana,Banane,Banana,fruit_and_vegetable,fruit,ton,musa,,,,,,,,,,uf987-fruits.svg
barley_grain,Grain d'Orge,Barley grain,plant_derivative,grain,quintal,hordeum_vulgare,,,,,,,,,,uf989-seed.svg
barley_silage,Ensilage d'Orge,Barley silage,plant_derivative,silage,ton,hordeum_vulgare,,,,,,,,,,uf98d-silo.svg
barley_straw,Paille d'Orge,Barley straw,plant_derivative,straw,ton,hordeum_vulgare,mass_volume_density,100,kilogram_per_cubic_meter,,,,,,,uf95a-hay.svg
basil,Basilic,Basil,plant_derivative,plant_derivative,kilogram,ocimum_basilicum,,,,,,,,,,uf940-seedling-solid.svg
batavia,Batavia,Batavia,fruit_and_vegetable,vegetable,ton,lactuca_sativa_capitata,,,,,,,,,,uf98a-salad.svg
bean,Haricot,Bean,fruit_and_vegetable,vegetable,ton,phaseolus_vulgaris,,,,,,,,,,uf988-carrot.svg
beetroot,Betterave,Beetroot,fruit_and_vegetable,vegetable,ton,beta_vulgaris_vulgaris,,,,,,,,,,uf988-carrot.svg
beetroot_fodder,Fourrage de Betterave,Beetroot fodder,plant_derivative,fodder,ton,beta_vulgaris_vulgaris,,,,,,,,,,uf95a-hay.svg
bilberry,Myrtille,Bilberry,fruit_and_vegetable,fruit,ton,vaccinium,,,,,,,,,,uf987-fruits.svg
bird_egg,Œuf d'oiseau,Bird egg,animal_derivative,egg,unity,aves,,,,,,,,,,uf956-eggs.svg
bird_meat,Viande d'oiseau,Bird meat,animal_derivative,meat,kilogram,aves,,,,,,,,,,uf994-meat.svg
birds_foot_hay,Foin de Serradelle,Birds foot hay,plant_derivative,hay,ton,ornithopus_sativus,,,,,,,,,,uf95a-hay.svg
birds_foot_trefoil_fodder,Fourrage de Lotier,Birds foot trefoil fodder,plant_derivative,fodder,ton,lotus_corniculatus,,,,,,,,,,uf95a-hay.svg
black_elderberry_flower,Fleur de Sureau noir,Black elderberry flower,plant_derivative,flower,ton,sambucus_nigra,,,,,,,,,,uf686-flower.svg
black_eyed_pea_grain,Grain de Cornille,Black eyed pea grain,plant_derivative,grain,quintal,vigna_unguiculata_unguiculata,,,,,,,,,,uf989-seed.svg
black_medick_fodder,Fourrage de Minette,Black medick fodder,plant_derivative,fodder,ton,medicago_lupulina,,,,,,,,,,uf95a-hay.svg
black_psyllium_grain,Graine de Plantain pucier,Black psyllium grain,plant_derivative,grain,quintal,plantago_afra,,,,,,,,,,uf989-seed.svg
blackberry,Mûre (ronce),Blackberry,fruit_and_vegetable,fruit,ton,rubus,,,,,,,,,,uf987-fruits.svg
blackcurrant,Cassis,Blackcurrant,fruit_and_vegetable,fruit,ton,ribes_nigrum,,,,,,,,,,uf987-fruits.svg
blond_psyllium_gain,Graine d'Ispaghul,Blond psyllium grain,plant_derivative,grain,quintal,plantago_ovata,,,,,,,,,,uf989-seed.svg
borage,Bourrache,Borage,plant_derivative,flower,ton,borago,,,,,,,,,,uf686-flower.svg
broad_bean,Fève,Broad bean,plant_derivative,grain,quintal,vicia_faba,,,,,,,,,,uf989-seed.svg
broccoli,Brocoli,Broccoli,fruit_and_vegetable,vegetable,ton,brassica_oleracea_italica,,,,,,,,,,uf988-carrot.svg
bromus_hay,Foin de Brôme,Bromus hay,plant_derivative,hay,ton,bromus,,,,,,,,,,uf95a-hay.svg
bromus_silage,Ensilage de Brôme,Bromus silage,plant_derivative,silage,ton,bromus,,,,,,,,,,uf98d-silo.svg
brussels_sprout,Chou de Bruxelles,Brussels sprout,fruit_and_vegetable,vegetable,ton,brassica_oleracea_gemmifera,,,,,,,,,,uf988-carrot.svg
buckwheat_grain,Grain de Sarrasin,Buckwheat grain,plant_derivative,grain,quintal,fagopyrum_esculentum,,,,,,,,,,uf989-seed.svg
bugle,Bugle rampant,Bugle,plant_derivative,plant_derivative,ton,ajuga_reptans,,,,,,,,,,uf940-seedling-solid.svg
burdock,Bardane,Burdock,plant_derivative,plant_derivative,ton,arctium,,,,,,,,,,uf940-seedling-solid.svg
