reference_name,fra,eng,nature,default_unit,mass_volume_density,nitrogen_concentration,phosphorus_concentration,potassium_concentration,sulfur_dioxide_concentration,magnesium_concentration,manganese_concentration,calcium_concentration,zinc_concentration,sodium_concentration,copper_concentration,target_specie
0_0_18,0-0-18 | 32SO3 | 5MgO | 16CaO,0-0-18 | 32SO3 | 5MgO | 16CaO,mineral_fertilizer,kilogram,,,,18,32,5,,16,,,,
0_0_30_6,0-0-30 SK | 43SO3 | 6CaO,0-0-30 SK | 43SO3 | 6CaO,mineral_fertilizer,kilogram,,,,30,43,,,6,,,,
0_0_30_10,0-0-30 | 42.5SO3 | 10MgO,0-0-30 | 42.5SO3 | 10MgO,mineral_fertilizer,kilogram,,,,30,42.5,10,,,,,,
0_0_54,0-0-54 | 24SO3,0-0-54 | 24SO3,mineral_fertilizer,kilogram,,,,54,24,,,,,,,
0_10_20,0-10-20 | 10SO3,0-10-20 | 10SO3,mineral_fertilizer,kilogram,,,10,20,10,,,,,,,
0_10_25,0-10-25 SK | 21SO3 | 19CaO | 3MgO,0-10-25 SK | 21SO3 | 19CaO | 3MgO,mineral_fertilizer,kilogram,,,10,25,21,3,,19,,,,
0_10_30,0-10-30 | 9CaO | 3MgO,0-10-30 | 9CaO | 3MgO,mineral_fertilizer,kilogram,,,10,30,,3,,9,,,,
0_13_26,0-13-26,0-13-26,mineral_fertilizer,kilogram,,,13,26,,,,,,,,
0_13_26_12,0-13-26 | 12SO3,0-13-26 | 12SO3,mineral_fertilizer,kilogram,,,13,26,12,,,,,,,
0_18_0,0-18-0 | 16SO3,0-18-0 | 16SO3,mineral_fertilizer,kilogram,,,18,,16,,,31,,,,
0_20_10,0-20-10 | 18SO3,0-20-10 | 18SO3,mineral_fertilizer,kilogram,,,20,10,18,,,,,,,
0_20_30,0-20-30,0-20-30,mineral_fertilizer,kilogram,,,20,30,,,,,,,,
0_25_25,0-25-25,0-25-25,mineral_fertilizer,kilogram,,,25,25,,,,,,,,
10_0_0,10-0-0 | 46SO3,10-0-0 | 46SO3,mineral_fertilizer,kilogram,,10,,,46,,,,,,,
10_0_25,10-0-25,10-0-25,mineral_fertilizer,kilogram,,10,,25,,,,,,,,
10_15_20,10-15-20 SK | 30SO3,10-15-20 SK | 30SO3,mineral_fertilizer,kilogram,,10,15,20,30,,,,,,,
10_45_0,10-45-0 | 5SO3 | Zn | Mn,10-45-0 | 5SO3 | Zn | Mn,mineral_fertilizer,kilogram,,10,45,,5,,0.5,,0.5,,,
10_5_18,10-5-18 | 5.5SO3 | 5MgO | 4.5Na ,10-5-18 | 5.5SO3 | 5MgO | 4.5Na ,mineral_fertilizer,kilogram,,10,5,18,5.5,5,,,,4.5,,
12_27_0,12-27-0 | 20SO3,12-27-0 | 20SO3,mineral_fertilizer,kilogram,,12,27,,20,,,,,,,
13_43_0,13.5-43.5-0 | Zn,13.5-43.5-0 | Zn,mineral_fertilizer,liter,1.35,13.5,43.5,,,,,,0.27,,,
14_16_10,14-16-10 | 20SO3,14-16-10 | 20SO3,mineral_fertilizer,kilogram,,14,16,10,20,,,,,,,
14_4_10,14-4-10 SK | 13SO3 | 3MgO,14-4-10 SK | 13SO3 | 3MgO,mineral_fertilizer,kilogram,,14,4,10,13,3,,,,,,
14_48_0,14-48-0 ,14-48-0 ,mineral_fertilizer,liter,1.42,14,48,,,,,,,,,
14_6_22,14-6-22 | 6SO3,14-6-22 | 6SO3,mineral_fertilizer,kilogram,,14,6,22,6,,,,,,,
15_15_15_15,15-15-15 | 15SO3,15-15-15 | 15SO3,mineral_fertilizer,kilogram,,15,15,15,15,,,,,,,
