reference_name,fra,eng,family,population_counting,frozen_indicators,variable_indicators,abilities,variety,derivative_of,pictogram
acidifier,Acidifiant,Acidifier,article,decimal,"net_mass, net_volume",,"acidify(fermented_juice), transform(wine)",preparation,,uf990-can.svg
agricultural_service,Prestation de service agricole,Agricultural service,service,decimal,"usage_duration, net_surface_area, net_mass, net_volume, members_count",,,service,,ufa0a-service.svg
alcohol,Alcool,Alcohol,article,decimal,net_volume,,,alcohol,,uf152-tint.svg
alkalinizer,Alcalinisant,Alkalinizer,article,decimal,"net_mass, net_volume",,"alkalinize(fermented_juice), transform(wine)",preparation,,uf990-can.svg
animal_division,Habitat des animaux,Animal division,zone,unitary,,"shape, nominal_storable_net_volume, nominal_storable_easement_area, net_surface_area",store(animal),building_division,,uf018-barn.svg
animal_food,Aliment pour animal,Animal food,article,decimal,"net_mass, net_volume",,feed(animal),preparation,animal,uf964-product-prepare.svg
animal_litter,Litière pour animal,Animal litter,article,decimal,"net_mass, net_volume",,cover(building_division),preparation,,ufa06-animal-litter.svg
animal_medicine,Médicament pour animal,Animal medicine,article,decimal,"net_mass, net_volume, meat_withdrawal_period, milk_withdrawal_period",,care(animal),preparation,animal,uf0da-medkit.svg
animal_trailer,Remorque de transport d'animaux,Animal trailer,equipment,unitary,"length, nominal_storable_net_mass, nominal_storable_net_volume", geolocation,store(animal),trailed_equipment,,uf938-trailer.svg
animal_vehicle,Véhicule de transport d'animaux,Animal vehicle,equipment,unitary,"length, nominal_storable_net_mass, nominal_storable_net_volume","fuel_consumption, motor_power, geolocation","store(animal), consume(oil), consume(fuel)",self_propelled_equipment,,uf938-trailer.svg
antifreeze,Antigel,Antifreeze,article,integer,,,heat,preparation,,uf94b-chemical-product.svg
bale_collector,Groupeur de balles,Bale collector,equipment,unitary,,geolocation,"catch(straw), store(straw)",trailed_equipment,,uf997-bale-collector.svg
baler,Presse à balles,Baler,equipment,unitary,nominal_storable_net_volume,geolocation,bunch,trailed_equipment,,uf92c-round-baler.svg
bird_band,Groupe d'oiseaux,Bird band,animal,integer,"reproductor, sex",,"consume(water), consume(plant), consume(preparation), produce(excrement), produce(egg)",aves,,uf986-goose.svg
bivalve_band,Groupe de bivalves,Bivalve band,animal,integer,,,consume(preparation),bivalvia,,uf984-shell.svg
blower,Pailleuse,Blower,equipment,unitary,nominal_storable_net_volume,"motor_power, geolocation",blow,trailed_equipment,,ufa07-unroller-straw-blower.svg
bottle,Bouteille,Bottle,article,integer,net_volume,,store(matter),bottle,,uf28b-bottle.svg
building,Bâtiment,Building,zone,unitary,,"shape, net_surface_area",store(building_division),building,,uf018-barn.svg
building_division,Zone de bâtiment,Building division,zone,unitary,,"nominal_storable_net_mass, nominal_storable_net_volume, shape, net_surface_area","store(preparation), store(equipment)",building_division,,uf018-barn.svg
caregiver,Soigneur,Caregiver,worker,unitary,,,"administer_care(animal), milk(mammalia)",worker,,uf166-user-md.svg
cereal_crop,Culture de céréale,Cereal crop,crop,decimal,net_surface_area," fresh_mass, plant_life_state, plant_reproduction_state, plants_count, shape, tiller_count","consume(water), consume(preparation), produce(grain), produce(straw)",plant,,uf16f-wheat.svg
cheese,Fromage,Cheese,article,decimal,"net_mass, net_volume","temperature, total_bacteria_concentration",,cheese,mammalia,uf98b-cheese.svg
clarification_solution,Solution clarifiante,Clarification solution,article,decimal,"net_mass, net_volume",,"clarify(fermented_juice), transform(wine)",preparation,,uf990-can.svg
cleaning_equipment,Équipement de nettoyage,Cleaning equipment,equipment,unitary,application_width,geolocation,clean(building_division),trailed_equipment,,uf94c-cleaner.svg
cleaning_product,Produit de nettoyage,Cleaning product,article,decimal,"net_mass, net_volume",,clean(building_division),preparation,,uf94b-chemical-product.svg
connected_object,Objet connecté,Connected object,equipment,unitary,,geolocation,,connected_object,,uf2ba-wifi.svg
cork,Bouchon,Cork,article,integer,,,close(bottle),cork,,uf950-corks.svg
corker,Boucheuse,Corker,equipment,unitary,,,close(bottle),fixed_equipment,,uf94f-corker.svg
covering_equipment,Équipement de pose de protection,Covering equipment,equipment,unitary,application_width,,cover(plant),trailed_equipment,,uf951-cover-implanter.svg
crop,Culture,Crop,crop,decimal,net_surface_area,"fresh_mass, plant_life_state, plant_reproduction_state, plants_count, shape, tiller_count","consume(water), consume(preparation), produce(straw)",plant,,uf0c1-leaf.svg
cultivable_zone,Zone cultivable,Cultivable zone,zone,unitary,net_surface_area," fence_perimeter, soil_cultural_state, shape","consume(water), consume(seed), produce(plant), store(plant), store(animal), store(fungus)",cultivable_zone,,uf179-land-parcels.svg
cutting_equipment,Équipement de coupe,Cutting equipment,equipment,unitary,"application_width, element_count, rows_count",,cut,trailed_equipment,,uf939-trimmer.svg
cutting_tool,Outil de coupe,Cutting tool,equipment,unitary,,,cut,portable_equipment,,uf955-cutter.svg
destoning_equipment,Équipement d'épierrage,Destoning equipment,equipment,unitary,"application_width, nominal_storable_net_volume",,grind(cultivable_zone),trailed_equipment,,uf91c-grinder.svg
disinfectant_product,Produit désinfectant,Disinfectant product,article,decimal,"net_mass, net_volume",,"clean(building_division), kill(bacteria)",preparation,,uf94b-chemical-product.svg
draining_item,Pièce de drainage,Draining item,article,integer,,"diameter, length",drain,equipment_part,,uf996-pipe.svg
driver,Conducteur,Driver,worker,unitary,,,drive(equipment),worker,,uf0d5-male.svg
egg,Œuf,Egg,article,integer,net_mass,,,egg,animal,uf956-eggs.svg
enzyme,Enzyme,Enzyme,article,decimal,"net_mass, net_volume",,"catalyze(wine), transform(wine)",preparation,,uf964-product-prepare.svg
equipment_part,Pièce d'équipement,Equipment part,article,integer,,,,equipment_part,,uf966-replacement-part.svg
fallow,Jachère,Fallow,crop,decimal,net_surface_area,"fresh_mass, plant_life_state, plant_reproduction_state, plants_count, shape, tiller_count","consume(water), consume(preparation)",plant,,uf0c1-leaf.svg
feather,Plume,Feather,article,decimal,"net_mass, net_volume",,,preparation,aves,uf993-feather.svg
fee_and_external_service,Frais et service extérieur,Fee and external service,service,decimal,"usage_duration, net_surface_area, net_mass, net_volume, energy",,,service,,uf0e2-money.svg
fermented_juice,Jus fermenté,Fermented juice,article,decimal,"net_mass, net_volume",,"produce(wine), produce(alcohol)",fermented_juice,,uf152-tint.svg
fermented_milk,Lait fermenté,Fermented milk,article,decimal,"net_mass, net_volume",,,fermented_milk,mammalia,uf95f-milk.svg
filler,Remplisseuse,Filler,equipment,unitary,element_count,volume_flow,fill(bottle),fixed_equipment,,ufa0b-filler.svg
fish_band,Groupe de poissons,Fish band,animal,integer,sex,,consume(preparation),actinopterygii,,uf2ec-fish.svg
flower,Fleur,Flower,article,decimal,"net_mass, net_volume",,,flower,plant,uf686-flower.svg
fodder,Fourrage,Fodder,article,decimal,"net_mass, net_volume, mass_volume_density",dry_matter_rate,feed(animal),grass,plant,uf95a-hay.svg
food_distributor,Distributeur d'aliments,Food distributor,equipment,unitary,"nominal_storable_net_volume, nominal_storable_net_mass", geolocation,deliver(preparation),fixed_equipment,,uf99a-tipper-trailer.svg
frost_protection_equipment,Équipement de protection contre le gel,Frost protection equipment,equipment,unitary,"application_width, element_count",,heat,fixed_equipment,,uf957-frost-protection.svg
fruit,Fruit,Fruit,article,decimal,"net_mass, net_volume","sucrose_concentration, impurity_concentration, water_content_rate","feed(animal), produce(juice)",fruit,plant,uf987-fruits.svg
fruit_crop,Culture fruitière,Fruit crop,crop,decimal,net_surface_area,"plant_life_state, plants_count, plants_interval, rows_interval, shape","consume(water), consume(preparation), produce(fruit), produce(straw)",plant,,uf0c1-leaf.svg
fruit_juice,Jus de fruit,Fruit juice,article,decimal,"net_mass, net_volume","sucrose_concentration, impurity_concentration, water_content_rate",produce(fermented_juice),juice,,uf152-tint.svg
fuel,Essence,Fuel,article,decimal,"net_mass, net_volume",,,fuel,,uf44c-local-gas-station.svg
gardening_crop,Culture maraîchère,Gardening crop,crop,decimal,net_surface_area,"fresh_mass, plant_life_state, plant_reproduction_state, plants_count, shape, tiller_count","consume(water), consume(preparation), produce(vegetable)",plant,,uf0c1-leaf.svg
gas,Gaz,Gas,article,decimal,"net_mass, net_volume",,,gas,,uf08c-fire.svg
grain,Grain,Grain,article,decimal,net_mass,"hagberg_falling_number, impurity_concentration, protein_concentration, specific_weight, water_content_rate",feed(animal),grain,plant,uf989-seed.svg
handling_equipment,Équipement de manutention,Handling equipment,equipment,unitary,"motor_power,  height","fuel_consumption,nominal_storable_net_mass,  geolocation","consume(oil), consume(fuel), catch(matter), lift(matter)",handling_equipment,,uf992-forklift.svg
harrow,Herse,Harrow,equipment,unitary,"application_width, rows_count",geolocation,"plow_superficially, kill(plant)",trailed_equipment,,uf91d-harrow.svg
harvester,Récolteuse,Harvester,equipment,unitary,"application_width, nominal_storable_net_mass, nominal_storable_net_volume, rows_count",geolocation,harvest(plant),trailed_equipment,,ufa0c-trailed-harvester.svg
hay,Foin,Hay,article,decimal,"net_mass, net_volume, mass_volume_density",dry_matter_rate,feed(animal),hay,plant,uf95a-hay.svg
heavy_equipment,Engin de chantier,Heavy equipment,equipment,unitary,"motor_power, height","fuel_consumption,geolocation",catch(matter),heavy_equipment,,uf991-bulldozer.svg
hiller,Butteuse,Hiller,equipment,unitary,"application_width, rows_count",geolocation,earth_up,trailed_equipment,,uf920-hiller.svg
hive,Ruche,Hive,equipment,unitary,,geolocation,"store(apis), store(honey)",fixed_equipment,,uf947-bee-hive.svg
hoe,Bineuse,Hoe,equipment,unitary,"application_width, rows_count",geolocation,"hoe, plow_superficially, kill(plant)",trailed_equipment,,uf922-hoe.svg
honey,Miel,Honey,article,decimal,"net_mass, net_volume","sucrose_concentration, temperature",,honey,apis,uf98e-honey.svg
horticultural_crop,Culture horticole,Horticultural crop,crop,decimal,net_surface_area,"fresh_mass, plant_life_state, plant_reproduction_state, plants_count, shape, tiller_count","consume(water), consume(preparation), produce(flower)",plant,,uf0c1-leaf.svg
implanter,Planteuse,Implanter,equipment,unitary,"application_width, rows_count",geolocation,implant,trailed_equipment,,uf923-implanter.svg
inseminator,Inséminateur,Inseminator,worker,unitary,,,administer_inseminate(animal),worker,,uf166-user-md.svg
installation,Installation,Installation,zone,unitary,,shape,"store(building), store(building_division), store(equipment)",settlement,,uf018-barn.svg
land_parcel,Parcelle,Land parcel,zone,unitary,,"aluminium_concentration, available_water_capacity_per_area, boron_concentration, calcium_concentration, cation_exchange_capacity, cation_exchange_capacity_analysis_method, copper_concentration, iron_concentration, magnesium_concentration, manganese_concentration, molybdenum_concentration, nitrogen_concentration, organic_matter_concentration, phosphorus_analysis_method, phosphorus_concentration, potassium_concentration, potential_hydrogen, soil_depth, soil_nature, sulfur_concentration, zinc_concentration, shape",,land_parcel,,uf179-land-parcels.svg
lifter,Releveuse,Lifter,equipment,unitary,rows_count,geolocation,lift(plant),trailed_equipment,,uf97b-wire-lifter.svg
mammal,Mammifère,Mammal,animal,unitary,"reproductor, sex","animal_life_state, economical_milk_index, fat_matter_concentration_index, healthy, lactating, last_birth_children_count, livestock_unit, mammalia_birth_condition, mammalia_birth_count, mammalia_reproduction_event_abortion, mammalia_reproduction_method_embryo_transplant, mammalia_reproduction_state, milk_daily_production, net_mass, protein_concentration_index, unique_synthesis_index","consume(water), consume(plant), consume(preparation), produce(excrement), produce(milk), produce(mammalia)",mammalia,,uf952-cow-alt.svg
mammal_band,Bande de mammifères,Mammal band,animal,integer,"reproductor, sex","animal_life_state, livestock_unit","consume(water), consume(plant), consume(preparation), produce(excrement), produce(milk)",mammalia,,uf952-cow-alt.svg
material,Matériel,Material,article,decimal,,"diameter, height, length",,preparation,,uf949-bricks.svg
meadow,Prairie,Meadow,crop,decimal,net_surface_area,"fresh_mass, plant_life_state, plant_reproduction_state, plants_count, shape, tiller_count","consume(water), consume(preparation), produce(hay)",plant,,uf0c1-leaf.svg
meat,Viande,Meat,article,decimal,net_mass,"temperature, total_bacteria_concentration",,meat,animal,uf994-meat.svg
mechanic,Mécanicien,Mechanic,worker,unitary,,,repair(equipment),worker,,uf0d5-male.svg
mechanical_weeder,Désherbeur mécanique,Mechanical weeder,equipment,unitary,"application_width, element_count, rows_count",geolocation,"kill(plant), earth_up, plow",trailed_equipment,,uf93c-weeder.svg
mechanical_weeding_tool,Outil de désherbage mécanique,Mechanical weeding tool,equipment,unitary,,,kill(plant),portable_equipment,,uf93c-weeder.svg
milk,Lait,Milk,article,decimal,"net_mass, net_volume","clostridial_spores_concentration, fat_matters_concentration, freezing_point_temperature, immunoglobulins_concentration, inhibitors_presence, lipolysis, protein_matters_concentration, somatic_cell_concentration, temperature, total_bacteria_concentration, urea_concentration",feed(mammalia),milk,mammalia,uf95f-milk.svg
milking_robot,Robot de traite,Milking robot,equipment,unitary,element_count,,milk(mammalia),fixed_equipment,,uf960-milking.svg
