reference_name,fra,eng,category,nature,default_unit,target_specie,indicator_1_name,indicator_1_value,indicator_1_unit,indicator_2_name,indicator_2_value,indicator_2_unit,indicator_3_name,indicator_3_value,indicator_3_unit,pictogram
acidifier,Acidifiant nettoyage machine à traite,Acidifier for cleaning milking robot,maintenance_consumable,acidifier,liter,,,,,,,,,,,uf990-can.svg
alkalinizer,Alcalin nettoyage machine à traite,Alkalinizer for cleaning milking robot,maintenance_consumable,alkalinizer,liter,,,,,,,,,,,uf990-can.svg
animal_litter,Litière pour animal,Animal litter,other_consumable,animal_litter,ton,,,,,,,,,,,ufa06-animal-litter.svg
back_label,Contre-étiquette,Back label,packaging_wine_dry_material,packaging,unity,,,,,,,,,,,uf0d8-matter.svg
bird_food,Nourriture pour oiseau,Bird food,animal_food,animal_food,kilogram,aves,,,,,,,,,,uf0da-medkit.svg
bird_medicine,Médicament pour oiseau,Bird medicine,animal_medicine,animal_medicine,liter,aves,,,,,,,,,,uf94a-candles.svg
bottle_box,Carton à bouteille,Bottle box,packaging_wine_dry_material,packaging,unity,,,,,,,,,,,uf990-can.svg
bottle_dry_material,Bouteille (matière sèche),Bottle (dry material),packaging_wine_dry_material,bottle,unity,,,,,,,,,,,uf94b-chemical-product.svg
candle,Bougie,Candle,other_consumable,antifreeze,unity,,,,,,,,,,,uf950-corks.svg
cap,Capsule,Cap,packaging_wine_dry_material,packaging,unity,,,,,,,,,,,uf0d8-matter.svg
clarification_solution,Solution clarifiante,Clarification solution,raw_material,clarification_solution,liter,,,,,,,,,,,uf0da-medkit.svg
cleaning_product,Produit de nettoyage,Cleaning product,other_consumable,cleaning_product,liter,,,,,,,,,,,uf970-vial.svg
cork,Bouchon,Cork,packaging_wine_dry_material,cork,unity,,,,,,,,,,,uf94b-chemical-product.svg
cow_food,Nourriture pour bovin,Cow food,animal_food,animal_food,kilogram,bos_taurus,,,,,,,,,,uf94b-chemical-product.svg
cow_medicine,Médicament pour bovin,Cow medicine,animal_medicine,animal_medicine,liter,bos_taurus,,,,,,,,,,uf996-pipe.svg
cow_vial,Paillette d'insémination pour bovin,Cow vial,animal_reproduction,vial,unity,bos_taurus,,,,,,,,,,uf0d8-matter.svg
disinfectant_product,Produit désinfectant,Disinfectant product,other_consumable,disinfectant_product,liter,,,,,,,,,,,uf966-replacement-part.svg
disinfectant_teat,Desinfectant trayons,Disinfectant teat,maintenance_consumable,animal_medicine,liter,bos_taurus,,,,,,,,,,uf993-feather.svg
draining_item,Pièce de drainage,Draining item,other_consumable,draining_item,unity,,,,,,,,,,,uf0d8-matter.svg
enzyme,Enzyme,Enzyme,raw_material,enzyme,liter,,,,,,,,,,,uf0da-medkit.svg
