reference_name,fra,eng,nature,default_unit
alfalfa_herbicide,Herbicide Luzerne,alfalfa_herbicide,plant_medicine,liter
alfalfa_insecticide,Insecticide Luzerne,alfalfa_insecticide,plant_medicine,liter
anti_slug,Anti limace,anti_slug,plant_medicine,kilogram
beetroot_fungicide,Fongicide Betterave,beetroot_fungicide,plant_medicine,liter
beetroot_herbicide,Herbicide Betterave,beetroot_herbicide,plant_medicine,liter
beetroot_insecticide,Insecticide Betterave,beetroot_insecticide,plant_medicine,liter
carrot_fungicide,Fongicide Carotte,carrot_fungicide,plant_medicine,liter
carrot_herbicide,Herbicide Carotte,carrot_herbicide,plant_medicine,liter
carrot_insecticide,Insecticide Carotte,carrot_insecticide,plant_medicine,liter
hard_wheat_fungicide,Fongicide Blé dur,hard_wheat_fungicide,plant_medicine,liter
hard_wheat_herbicide,Herbicide Blé dur,hard_wheat_herbicide,plant_medicine,liter
hard_wheat_insecticide,Insecticide Blé dur,hard_wheat_insecticide,plant_medicine,liter
pea_fungicide,Fongicide Pois,pea_fungicide,plant_medicine,liter
pea_herbicide,Herbicide Pois,pea_herbicide,plant_medicine,liter
pea_insecticide,Insecticide Pois,pea_insecticide,plant_medicine,liter
potato_fungicide,Fongicide Pomme de terre,potato_fungicide,plant_medicine,liter
potato_herbicide,Herbicide Pomme de terre,potato_herbicide,plant_medicine,liter
potato_insecticide,Insecticide Pomme de terre,potato_insecticide,plant_medicine,liter
rye_growth_regulator,Regulateur de croissance Riz,rye_growth_regulator,plant_medicine,liter
rye_herbicide,Herbicide Riz,rye_herbicide,plant_medicine,liter
rye_insecticide,Insecticide Riz,rye_insecticide,plant_medicine,liter
spring_barley_fungicide,Fongicide Orge printemps,spring_barley_fungicide,plant_medicine,liter
spring_barley_growth_regulator,Regulateur de croissance Orge printemps,spring_barley_growth_regulator,plant_medicine,liter
spring_barley_herbicide,Herbicide Orge printemps,spring_barley_herbicide,plant_medicine,liter
spring_barley_insecticide,Insecticide Orge printemps,spring_barley_insecticide,plant_medicine,liter
sunflower_herbicide,Herbicide Tournesol,sunflower_herbicide,plant_medicine,liter
triticale_herbicide,Herbicide Triticale,triticale_herbicide,plant_medicine,liter
triticale_insecticide,Insecticide Triticale,triticale_insecticide,plant_medicine,liter
winter_barley_fungicide,Fongicide Orge hiver,winter_barley_fungicide,plant_medicine,liter
winter_barley_growth_regulator,Regulateur de croissance Orge hiver,winter_barley_growth_regulator,plant_medicine,liter
winter_barley_herbicide,Herbicide Orge hiver,winter_barley_herbicide,plant_medicine,liter
winter_barley_insecticide,Insecticide Orge hiver,winter_barley_insecticide,plant_medicine,liter
