reference_name,fra,eng,nature,default_unit,target_specie,pmg
alfalfa_seed,Semence de Luzerne,Alfalfa seed,seed,kilogram,medicago_sativa,2
angelica_seed,Semence d'Angélique,Angelica seed,seed,kilogram,angelica,
anise_seed,Semence d'Anis,Anise seed,seed,kilogram,pimpinella_anisum,
apple_seedling,Plant de Pommier,Apple seedling,seedling,unity,malus_domestica,
apricot_seedling,Plant d'Abricotier,Apricot seedling,seedling,unity,prunus_armeniaca,
artichoke_seed,Semence d'Artichaut,Artichoke seed,seed,kilogram,cynara_scolymus,
asparagus_seed,Semence d'Asperge,Asparagus seed,seed,kilogram,asparagus_officianalis,
avocado_seedling,Plant d'Avocatier,Avocado seedling,seedling,unity,persea_americana,
banana_seedling,Plant de Bananier,Banana seedling,seedling,unity,musa,
barley_seed,Semence d'Orge,Barley seed,seed,kilogram,hordeum_vulgare,50
basil_seed,Semence de Basilic,Basil seed,seed,kilogram,ocimum_basilicum,
batavia_seed,Semence de Batavia,Batavia seed,seed,kilogram,lactuca_sativa_capitata,
bean_seed,Semence d'Haricot,Bean seed,seed,kilogram,phaseolus_vulgaris,
beetroot_seed,Semence de Betterave,Beetroot seed,seed,kilogram,beta_vulgaris_vulgaris,
bilberry_seedling,Plant de Myrtillier,Bilberry seedling,seedling,unity,vaccinium,
birds_foot_seed,Semence de Serradelle,Birds foot seed,seed,kilogram,ornithopus_sativus,
birds_foot_trefoil_seed,Semence de Lotier,Birds foot trefoil seed,seed,kilogram,lotus_corniculatus,
black_elderberry_seedling,Plant de Sureau noir,Black elderberry seedling,seedling,unity,sambucus_nigra,
black_eyed_pea_seed,Semence de Cornille,Black eyed pea seed,seed,kilogram,vigna_unguiculata_unguiculata,
black_medick_seed,Semence de Minette,Black medick seed,seed,kilogram,medicago_lupulina,
black_psyllium_seed,Semence de Plantain pucier,Black psyllium seed,seed,kilogram,plantago_afra,
blackberry_seedling,Plant de Mûre (ronce),Blackberry seedling,seedling,unity,rubus,
blackcurrant_seedling,Plant de Cassissier,Blackcurrant seedling,seedling,unity,ribes_nigrum,
blond_psyllium_seed,Semence d'Ispaghul,Blond psyllium seed,seed,kilogram,plantago_ovata,
borage_seed,Semence de Bourrache,Borage seed,seed,kilogram,borago,
broad_bean_seed,Semence de Fève,Broad bean seed,seed,kilogram,vicia_faba,
broccoli_seed,Semence de Brocoli,Broccoli seed,seed,kilogram,brassica_oleracea_italica,
bromus_seed,Semence de Brôme,Bromus seed,seed,kilogram,bromus,
brussels_sprout_seed,Semence de Chou de Bruxelles,Brussels sprout seed,seed,kilogram,brassica_oleracea_gemmifera,
buckwheat_seed,Semence de Sarrasin,Buckwheat seed,seed,kilogram,fagopyrum_esculentum,
bugle_seed,Semence de Bugle rampant,Bugle seed,seed,kilogram,ajuga_reptans,
burdock_seed,Semence de Bardane,Burdock seed,seed,kilogram,arctium,
butternut_squash_seed,Semence de Butternut,Butternut squash seed,seed,kilogram,cucurbita_moschata,
cabbage_seed,Semence de Chou,Cabbage seed,seed,kilogram,brassica_oleracea,
camelina_seed,Semence de Cameline,Camelina seed,seed,kilogram,camelina_sativa,
caraway_seed,Semence de Carvi,Caraway seed,seed,kilogram,carum_carvi,
carob_seedling,Plant de Caroubier,Carob seedling,seedling,unity,ceratonia_siliqua,
carrot_seed,Semence de Carotte,Carrot seed,seed,kilogram,daucus_carota,1
cassava_seed,Semence de Manioc,Cassava seed,seed,kilogram,manihot_esculenta,
castor_bean_seed,Semence de Ricin,Castor bean seed,seed,kilogram,ricinus_communis,
catjang_seed,Semence de Dolique,Catjang seed,seed,kilogram,vigna_unguiculata_cylindrica,
cauliflower_seed,Semence de Chou-fleur,Cauliflower seed,seed,kilogram,brassica_oleracea_botrytis,
celeriac_seed,Semence de Céleri-rave,Celeriac seed,seed,kilogram,apium_graveolens_rapaceum,
celery_seed,Semence de Céleri-branche,Celery seed,seed,kilogram,apium_graveolens_dulce,
chamomile_seed,Semence de Camomille,Chamomile seed,seed,kilogram,chamaemelum,
chard_seed,Semence de Bette,Chard seed,seed,kilogram,beta_vulgaris_cicla,
cherry_laurel_seedling,Plant de Laurier cerise,Cherry laurel seedling,seedling,unity,prunus_laurocerasus,
cherry_seedling,Plant de Cerisier,Cherry seedling,seedling,unity,prunus_cerasus,
chervil_seed,Semence de Cerfeuil,Chervil seed,seed,kilogram,anthriscus_cerefolium,
chesnut_seedling,Plant de Châtaigne,Chesnut seedling,seedling,unity,castanea,
chickpea_seed,Semence de Pois chiche,Chickpea seed,seed,kilogram,cicer_arietinum,
chili_seed,Semence de Piment,Chili seed,seed,kilogram,capsicum,
chive_seed,Semence de Ciboulette,Chive seed,seed,kilogram,allium_schoenoprasum,
clementine_seedling,Plant de Clémentinier,Clementine seedling,seedling,unity,citrus_clementina,
clover_seed,Semence de Trèfle,Clover seed,seed,kilogram,trifolium,
cocksfoot_seed,Semence de Dactyle,Cock's-foot seed,seed,kilogram,dactylis,
cocoa_seedling,Plant de Cacaoyer,Cocoa seedling,seedling,unity,theobroma_cacao,
coffee_seedling,Plant de Caféier,Coffee seedling,seedling,unity,coffea,
common_daisy_seed,Semence de Pâquerette,Common daisy seed,seed,kilogram,bellis_perennis,
common_vetch_seed,Semence de Vesce,Common vetch seed,seed,kilogram,vicia_sativa,
common_wheat_seed,Semence de Blé tendre,Common wheat seed,seed,kilogram,triticum_aestivum,42
coriander_seed,Semence de Coriandre,Coriander seed,seed,kilogram,coriandrum_sativum,
corn_seed,Semence de Maïs,Corn seed,seed,kilogram,zea_mays,300
cornflower_seed,Semence de Bleuet,Cornflower seed,seed,kilogram,centaurea_cyanus,
cornsalad_seed,Semence de Mâche,Cornsalad seed,seed,kilogram,valerianella_locusta,
cotton_seed,Semence de Cotonnier,Cotton seed,seed,kilogram,gossypium,
cranberry_seedling,Plant de Canneberge,Cranberry seedling,seedling,unity,vaccinium,
cress_seed,Semence de Cresson alénois,Cress seed,seed,kilogram,lepidium_sativum,
cucumber_seed,Semence de Concombre,Cucumber seed,seed,kilogram,cucumis_sativus,
cumin_seed,Semence de Cumin,Cumin seed,seed,kilogram,cuminum,
curly_endive_seed,Semence de Chicorée frisée,Curly endive seed,seed,kilogram,cichorium_endivia_crispum,
dill_seed,Semence d'Aneth,Dill seed,seed,kilogram,anethum_graveolens,
eggplant_seed,Semence d'Aubergine,Eggplant seed,seed,kilogram,solanum_melongena,
escarole_seed,Semence de Scarole,Escarole seed,seed,kilogram,cichorium_endivia_latifolium,
eucalyptus_seedling,Plant d'Eucalyptus,Eucalyptus seedling,seedling,unity,eucalyptus,
fennel_seed,Semence de Fenouil,Fennel seed,seed,kilogram,foeniculum_vulgare,
fenugreek_seed,Semence de Fenugrec,Fenugreek seed,seed,kilogram,trigonella_foenum_graecum,
fescue_seed,Semence de Fétuque,Fescue seed,seed,kilogram,festuca,
festulolium_seed,Semence de Festulolium,Festulolium seed,seed,kilogram,x_festulolium,
field_bean_seed,Semence de Féverole,Field bean seed,seed,kilogram,vicia_faba,
field_bean_organic_seed,Semence de Féverole bio,Field bean seed,seed,kilogram,vicia_faba,
field_mustard_seed,Semence de Navette,Field mustard seed,seed,kilogram,brassica_rapa_oleifera,
fig_seedling,Plant de Figuier,Fig seedling,seedling,unity,ficus_carica,
flageolet_bean_seed,Semence de Flageolet,Flageolet bean seed,seed,kilogram,phaseolus_vulgaris,
flax_seed,Semence de Lin,Flax seed,seed,kilogram,linum_usitatissimum,
foxtail_millet_seed,Semence de Moha,Foxtail millet seed,seed,kilogram,setaria_italica,
galium_seed,Semence de Gaillet,Galium seed,seed,kilogram,galium,
garlic_seed,Semence d'Ail,Garlic seed,seed,kilogram,allium_sativum,
geranium_seed,Semence de Géranium,Geranium seed,seed,kilogram,geranium,
