custom_code,short_name,long_name
3309,Couderc,Couderc
9901,Rupestris Du Lot,Rupestris Du Lot
9902,3309 Couderc,3309 Couderc
9903,41 B Mgt,41 B Millardet et de Grasset
9904,161-49 Couderc,161-49 Couderc
9905,5 B B,Kober 5 B B.
9906,Riparia Gloire De Montpellier,Riparia Gloire de Montpellier
9907,99 Richter,99 Richter
9908,44-53 Malegue,44-53 Malegue
9909,110 Richter,110 Richter
9910,420 A Mgt,420 A Millardet et de Grasset
9911,101-14 Mgt,101-14 Millardet Et De Grasset
9912,Vialla,Vialla
9913,S O 4,Sélection Oppenheim 4
9915,1616 Couderc,1616 Couderc
9917,333 Em,333 Ecole de Montpellier
9919,216-3 Castel,216-3 Castel
9922,Teleki 8 B,Teleki 8 B
9926,196-17 Castel,196-17 Castel
9927,34 Em,34 Ecole de Montpellier
9928,125 Aa,Kober 125 AA
9929,Nemadex Ab,Nemadex Alain Bouquet
9930,4010 Castel,4010 Castel
9932,Fercal,Fercal
9934,Gravesac,Gravesac
9945,Grezot 1,Grezot 1
9950,140 Ruggeri,140 Ruggeri
9952,1103 Paulsen,1103 Paulsen
9953,1447 Paulsen,1447 Paulsen
9954,Bc 2,Berlandieri-Colombard 2
9958,Teleki 5 C,Teleki 5 C
9960,Riparia,Riparia
9982,R S B 1,Resseguier Sélection Birolleau 1
9985,Binova,Binova
9986,Borner,Borner
