id,name,color,category,utilities
90d487114c497eb242b44a6dec0940d5a5b008a1,Cabestrel N (= 68-11),black,variety,wine
57cec83dcdae370160062a550a1db5d3e74e7447,Belair N,black,variety,table
509278d8a1d94083f83e6d2a713bf19dc93d53ff,Gros Manseng Blanc B,white,variety,wine
af7ec63f5a7acaf2f0ec0562f88a04e7b3a5cdc8,Courbu B,white,variety,wine
ed4e806d7c7a1e571948350ba63279f8b073e307,Philipp N,black,hybrid,certified
c428b284687f9f32019c9a543683bd6ae41ce288,Muller-Thurgau B,white,variety,wine
fdec15afc633bd35b8810bfc87834df091a4fc9a,Panse Precoce B,white,variety,table
aa65fa99aeda180fde4b3006eaa695be87c6250b,Morrastel N,black,variety,wine
481a8bdca5c800a300de4bf268f0e9a78ea57bed,Madeleine Angevine B,white,variety,table
38099dc41d51e8f440771f8b952595971a0dd498,Precoce De Malingre B,white,variety,wine
7009a27607d6b65a34da24323dbe610e0c1b730e,Petit Courbu B,white,variety,wine
130a4b157e69dec7b893b20e6c8e5e4732fd9fba,Pinot Noir N,black,variety,wine
825182a24ead598ac01d358128f711b50f1166ab,Roussanne B,white,variety,wine
c6e56bde2a5a49713b5e20b7dfaaf9ef09492596,Semillon B,white,variety,wine
85da98f7e3dacb3f018526c83f61e9bf8e9ca5ba,Arriloba B,white,variety,wine
d6e65737f2bcf02e2b8d7bae3ba276523c7ec5c9,Alvina N,black,variety,table
7c64cd28ecfaa8892bfd4c4f6e2ab101531f6dc9,Alval N,black,variety,table
93ea894e915211e37e0d3858d4750edb6e682a0f,Sauvignon Gris G,grey,variety,wine
940047fba0e0715b06c65511d84cbb4bf69b7a67,Tempranillo N,black,variety,wine
66baca3e2bb7ba6de49c89425380e418789e87ad,Syrah N,black,variety,wine
a38d99935526c5e01b286eec1eaeeda53cc7f1b2,Calabrese N (= Nero D'Avola),black,variety,wine
f474ff5caf2b2e9c2a41b4a4524e037306b28500,Bouillet N,black,variety,wine
871d6c2a6213e09e78dd052127e76cb594ea7941,Muscat De Hambourg N,black,variety,"wine, table"
252060dfb1df8aa199a0fbad2d7e4cc507323809,Mondeuse Grise G,grey,variety,wine
017dfaf3f77d487f1da1acee8a7b782f5742458c,Muscadelle B,white,variety,wine
360cdb3b2c193bc28e47f9e0930f44b52c780f5d,Mourvaison N,black,variety,wine
1a27b86a028b0b5eadc581720cf309abefa1702f,Perdea B,white,variety,wine
58a744cd7c0ffca31792933311b4fd38191ba8cc,Peloursin,black,variety,wine
6abd5bf52c8610f6691e5e27ee3e6cfed1befb1f,Fanny B,white,hybrid,certified
2acf05ef1e46e19d2a28b14b6848416d650c064d,Florental N,black,hybrid,wine
bf1aa1660e6105e82997a7bb8cd6ad1285eac676,41 B Mgt,,rootstock,
760cc3c50980856d3fbd92fc28ecda32aa41ff61,Grezot 1,,rootstock,
637baf8459f47b3fbfd2531325b99a5509741ffa,Grolleau N,black,variety,wine
9d8b8e9f9ef8aa0914fca1ca26f6f4fed2ecd2ca,Jaoumet B,white,variety,table
699229db899c6a82ba268af3ac24ba1c5e814b13,Goldriesling B,white,variety,wine
99e93edc26c43cdf2a8387e0d123ce1bfac64e0b,Elbling B,white,variety,wine
d7b079fbe016e37f4a5acdba05dc0541fc9004d8,Trousseau Gris G (= Chauché Gris),grey,variety,wine
e21985dea2f40fa3099ede06e9c62af3cce49f0e,Lilla B,white,hybrid,certified
15eaf807afedbcebd06c60d05af874e59d13a6a0,110 Richter,,rootstock,
840092fa2d9e5bc3cb784a2314519ae1bc85f95a,140 Ruggeri,,rootstock,
c1b0f55d71204558d489c5f04f3a626690023b66,Muscat Cendre B,white,variety,wine
c26e711e82b97a2b5611aaf8a8bfa32efdeb1e48,Montils B,white,variety,wine
ca00c220d7303ae8371cc7f3a0d013c51c1cab30,Clairette B,white,variety,"wine, table"
ac771eb532dda3b6be3e001373c00afc348997db,Carignan Gris G,grey,variety,wine
0c91a75c98737c1320bd29ac8f8ac353cb06105d,Sulima B,white,variety,table
5ddcdb63ea195f3adab84b0138b2a84d15f85bae,Petit Manseng B,white,variety,wine
d7b61b2b79aaf15ce25d9ea517a3c937c5355f65,Onchette N,black,variety,wine
8ee2466f4e2108556c163e8dd8278fea6df45b27,Bia Blanc B,white,variety,wine
221924ae3b4185b753804bd00a5f930960084d52,Zinfandel N (= Primitivo),black,variety,wine
e5516c073c1b56092d2e5f0e105556860223f03f,Verdesse B,white,variety,wine
12aca93aa31161ac10895aaa80228ee51656bd4a,Sereneze N,black,variety,wine
ffdbec6f305c572a2a9a2ec3c6f8ac25e8fc4f10,Servanin N,black,variety,wine
eb90e0050f2bd81754efd015659bd0f2f925f8ca,Teoulier N,black,variety,wine
1d79824400ef4ba3d09056309530817e20f8667d,Rayon D'Or B,white,hybrid,wine
cd07065888cdf1fe66fe27a1b9efc7bc634e02bd,Bc 2,,rootstock,
92c865cdf5c9a9377369314de5539320d5da1f7f,Picardan B (= Araignan Blanc),white,variety,wine
ed816f680f79fd7ae1bbf115fce210883e93cec1,Pinot Blanc B,white,variety,wine
5c473f456cdfba3d112b8df5696d0ccfb4b5dd2c,Ora B,white,variety,table
1f80505a5e05c6e813f8965032b757f1162f7a44,Gewurztraminer Rs,pink,variety,wine
08e2d7c049be3b245f9110129d796ea56df013cf,Caladoc N,black,variety,wine
7948eb55194df2e847ab19796e060f4911ce732a,Precoce Bousquet B,white,variety,wine
46f28a6f9ad2e23eca7b1d699fdda72988819383,Prunelard N,black,variety,wine
2dd3b4d21ebf84be5907154942ead67d8b25400f,Olivette Noire N,black,variety,table
a94d48f07f744112840a09d7ebe92f4c6cad51e0,Kadarka N (= Gamza),black,variety,wine
93ab717f05635877b5dc7060019f81c71704a164,Knipperle B,white,variety,wine
c5b8b15b04902d22ab5723e4cc88ffb26569e0c9,Picarlat N,black,variety,wine
269638626fd28e53c15ea1206127dad5cee3dd5e,Aledo B,white,variety,table
f6312d2ec064f5f872ffa64e0cfac28a91ea0f72,Bachet N,black,variety,wine
15a3574a50e046de0cf5457506efeec2b1abeeff,Moschofilero Rs,pink,variety,wine
1c6e5d5c6c4b32c147b2278447231ff6d4fc4549,Pascal B,white,variety,wine
a4c30b66c5b267f7c2db54c58b240ef8f17439bb,Nemadex Ab,,rootstock,
3dfcd462d665fff8bda497b661c111223b574c28,216-3 Castel,,rootstock,
510cce92238381c802b8b388018053660ac920b5,125 Aa,,rootstock,
f824d22c8cdba2b076141e5f45090d09b171966d,Trousseau N,black,variety,wine
8a4fd883868cfe27c19be4c6d5d43df2ede4dd49,Rivairenc N (= Aspiran Noir),black,variety,wine
2d11219c7de85e4d4bbadea7431c00064988866c,Ribol N,black,variety,"wine, table"
6b2bec0354c982821d64581d88fc8dbacde758c0,Centennial Seedless B,white,variety,table
9743558e0d5db6803cf1b933b4f7ade67b355594,Chasan B,white,variety,wine
